Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-25.840578	14.403215	41.190746	-62.583256	14.921641	0.014111774	0.11459258	0.36310315	-0.34345978	4000	-0.024052806	688.8371	0.0	-364.10785	0.9189432	1.4901161e-09	7.945570945739746
1	-26.711199	14.492719	22.638033	-67.04855	14.840149	-8.989595	0.734717	-1.4117051	-9.587394	8000	0.0159178	332.1624	0.0	-154.0161	0.91894126	9.536744e-10	15.767700672149658
2	-25.922937	15.656676	94.4781	-62.370407	14.658089	-14.923223	0.2579952	-11.199624	-15.059756	12000	0.023976894	181.73163	0.0	-60.451683	0.9189973	7.748604e-10	23.651101112365723
3	-27.316717	15.253039	25.253616	-64.23946	14.902985	-18.709528	0.24036112	-11.264209	-18.798412	16000	0.041302588	132.58255	0.0	-29.495064	0.91907036	-1.4901161e-09	31.498594760894775
4	-27.865908	13.827334	9.891171	-64.4944	14.456522	-21.49719	0.2391958	-13.151865	-21.568865	20000	-0.03137074	87.86013	0.0	-12.131332	0.91918284	9.834766e-10	39.35729956626892
5	-25.288464	15.002754	17.97995	-58.182667	14.694853	-23.382488	0.16611442	-18.250689	-23.446484	24000	-0.037244163	83.55818	0.0	-3.024086	0.9192022	-5.662441e-10	47.23557734489441
6	-27.437214	15.404618	16.171038	-60.417267	14.766666	-23.874044	0.7454205	-9.762346	-24.075216	28000	0.024763055	81.90247	0.0	-5.3406906	0.9191703	2.9206275e-09	55.14608025550842
7	-25.899975	15.115953	19.574818	-70.30923	14.762963	-24.316399	1.9206219	5.514206	-24.851383	32000	0.015046933	87.70111	0.0	-4.2493744	0.91917574	1.4305115e-09	63.02262735366821
8	-27.78542	14.367976	18.326689	-62.374554	14.749078	-24.655605	1.641903	7.462843	-25.054539	36000	-0.025512071	79.67726	0.0	-3.9981842	0.91921014	-1.8775463e-09	70.89468383789062
9	-26.52661	15.751156	44.53017	-67.944145	14.527273	-25.08757	1.3625865	-1.62069	-25.428907	40000	0.00399871	83.825516	0.0	-1.8385086	0.9191927	5.7518483e-09	78.76707053184509
10	-24.592651	16.326357	72.31779	-63.577934	15.113636	-25.2277	1.0918132	-5.589821	-25.557713	44000	-0.025748111	90.85799	0.0	-4.675194	0.9191886	-4.172325e-09	86.58174228668213
11	-26.277426	15.100313	18.377422	-65.30643	14.715867	-24.64928	1.2213888	13.8169365	-24.909313	48000	-0.07152617	84.92387	0.0	-2.5417557	0.9191523	2.7418137e-09	94.39515972137451
12	-29.293924	14.8227625	15.46026	-65.90681	14.705882	-24.621698	1.113992	-2.6640568	-24.984873	52000	0.011884358	84.13845	0.0	-4.4376297	0.9190628	-1.0728836e-09	102.2493736743927
13	-25.890875	15.242991	16.37337	-61.249294	14.8364315	-25.896992	0.47419295	-13.861515	-26.038683	56000	-0.03448068	89.66115	0.0	-4.8183136	0.91899914	5.722046e-09	110.10430264472961
14	-24.336731	14.459139	18.690863	-58.23691	14.895522	-24.57547	2.404998	8.948312	-25.402327	60000	-0.0055467426	81.11425	0.0	-7.2564545	0.91891366	-4.4703483e-10	117.93549370765686
15	-26.643875	14.724453	11.030896	-71.21058	14.760148	-23.699644	2.419236	-4.8002324	-25.078789	64000	-0.0035090323	86.73731	0.0	-8.631874	0.91882867	-2.4437905e-09	125.77383875846863
16	-26.95314	14.766288	15.899669	-67.01936	14.633699	-24.546741	1.9061271	-5.3167677	-25.628126	68000	0.026588604	82.733284	0.0	-5.254898	0.9187569	-2.503395e-09	133.6490626335144
17	-26.741306	14.494556	60.38459	-71.17598	15.022641	-24.914011	1.8774208	-11.496674	-26.13504	72000	0.007968964	74.03223	0.0	-6.850792	0.9187179	2.4735927e-09	141.51142239570618
18	-27.307283	14.595741	24.89067	-63.15677	14.538182	-24.554464	2.413578	-10.709746	-26.507263	76000	-0.027210698	72.26995	0.0	-8.473778	0.91868603	8.940697e-11	149.3923065662384
19	-27.533735	14.863427	41.884975	-67.26467	14.730627	-24.590717	3.0574799	-0.01321964	-27.141802	80000	0.0071829585	76.83003	0.0	-7.3058624	0.9186431	3.1292438e-09	157.31806135177612
20	-25.685455	15.209182	46.710663	-72.35914	14.876865	-25.168203	2.92139	-9.119911	-27.580704	84000	0.007560269	74.18195	0.0	-11.39801	0.9186105	3.9935113e-09	165.22235679626465
21	-27.293348	15.807148	17.58741	-70.922646	14.774074	-24.427422	3.4586754	1.7514012	-27.954144	88000	0.025217721	90.01634	0.0	-25.574562	0.9185894	9.23872e-10	173.09380388259888
22	-25.278273	16.325062	35.757248	-73.01942	15.193916	-24.729668	3.147764	-14.578411	-28.907488	92000	0.0018300364	68.59976	0.0	-14.593521	0.91858405	9.149313e-09	180.91518878936768
23	-26.80441	14.259858	29.238348	-59.559013	14.734318	-24.706007	3.9407418	-12.401194	-29.602804	96000	0.034588188	50.710075	0.0	-13.7560005	0.91858524	5.960465e-11	188.72700715065002
24	-26.879591	13.944522	13.039911	-57.642223	14.641026	-24.585743	4.664888	-9.23053	-30.561308	100000	-0.045832008	39.919132	0.0	-10.502081	0.9186144	5.7816507e-09	196.51477432250977
25	-25.601097	15.116034	17.895617	-80.68012	14.977528	-24.7035	5.032433	-9.4169445	-31.587807	104000	-0.002042604	39.592728	0.0	-11.110214	0.9186024	-1.2218953e-09	204.32167029380798
26	-27.965847	15.279005	23.40754	-66.71915	14.712177	-24.84807	5.577876	-7.9489512	-32.575108	108000	0.032037117	37.73079	0.0	-9.885439	0.9185908	-1.6689301e-09	212.14410495758057
27	-28.430712	14.640996	22.064425	-84.44019	14.680147	-25.94916	5.662667	-7.421079	-33.57741	112000	0.040348366	30.183084	0.0	-6.88299	0.91860706	2.3543836e-09	219.98334169387817
28	-25.435665	14.816288	10.2192135	-56.156727	14.730627	-24.960735	6.469526	-5.0814495	-34.457237	116000	0.013392122	21.909985	0.0	-6.338828	0.9186396	9.894371e-09	227.76558589935303
29	-25.505621	14.369716	42.943974	-57.099472	15.083019	-24.673498	6.629681	-3.3224573	-34.666325	120000	-0.030556027	21.63161	0.0	-5.2079277	0.91867787	-4.9471853e-09	235.56053638458252
30	-27.660254	15.424552	21.404078	-70.45591	14.6654415	-25.162565	6.998351	-2.458601	-35.49116	124000	-0.002266098	23.110668	0.0	-6.495617	0.9186935	8.3446505e-10	243.38990879058838
31	-27.186481	14.264191	12.358076	-84.900986	14.781482	-25.08922	7.187	-2.4792614	-36.506813	128000	0.024197176	23.10082	0.0	-6.490738	0.91871357	2.8908254e-09	251.20276951789856
32	-25.505692	15.119854	27.68401	-60.73445	14.902985	-25.036276	7.3611116	-2.1115837	-37.247196	132000	-0.010151307	20.493155	0.0	-5.9785833	0.91874504	3.6358834e-09	258.89852476119995
33	-25.053804	15.531799	45.03492	-60.97566	15.087121	-24.132597	7.776991	-1.2699852	-37.425262	136000	-0.015623598	18.222935	0.0	-4.1371336	0.91876847	-3.8444994e-09	266.673944234848
34	-27.385262	15.391095	19.22622	-68.594536	14.6654415	-24.556044	7.9027114	-0.67443967	-38.05017	140000	0.013451296	19.517138	0.0	-5.887516	0.9187777	-2.6524067e-09	274.4425721168518
35	-24.951143	14.585182	19.450407	-52.748676	14.766666	-24.54843	7.863066	-0.3620055	-38.218353	144000	-0.016081342	15.065948	0.0	-5.6716204	0.91880083	-1.2814999e-09	282.2977056503296
36	-25.64195	15.051858	31.469988	-57.088913	14.741697	-24.312366	7.9437833	0.17999542	-39.11765	148000	-0.018464858	18.778305	0.0	-4.8781776	0.91880655	-5.364418e-10	290.1208052635193
37	-26.92091	14.010625	24.755758	-62.31568	14.705882	-25.00746	7.634002	1.1626334	-38.578423	152000	-0.014083929	16.070663	0.0	-5.443162	0.9188039	2.4139881e-09	297.91689944267273
38	-25.892033	14.637517	25.512255	-64.4588	14.672794	-24.784723	7.590377	1.9262145	-39.10929	156000	-0.031606928	14.150122	0.0	-4.6853476	0.91878897	-2.4735927e-09	305.72617077827454
39	-26.184763	15.962169	42.580673	-59.388103	14.825279	-24.881062	7.9807367	2.0920744	-39.52383	160000	0.009146503	16.290293	0.0	-5.084882	0.9187494	3.2782554e-09	313.52784156799316
40	-27.161854	14.518814	39.303864	-65.05913	14.745387	-25.817184	7.3339987	2.402174	-39.829224	164000	-0.02078052	16.248543	0.0	-5.7782965	0.918725	7.867813e-09	321.3502073287964
41	-25.979977	14.811355	13.699851	-58.411434	14.698529	-24.567375	8.250927	1.9834392	-40.30314	168000	-0.025078822	11.505619	0.0	-4.20643	0.91869336	5.9604646e-09	329.24989581108093
42	-27.428303	14.751743	13.613887	-65.05519	14.807407	-25.072184	8.045915	2.5727806	-41.126537	172000	-0.0013062706	13.407496	0.0	-5.290427	0.9186428	4.1425228e-09	337.1284513473511
43	-27.282288	14.243433	15.843172	-60.71176	14.558394	-25.253056	7.8793807	1.6542444	-41.38263	176000	-0.021484666	11.45558	0.0	-4.498906	0.91859525	6.5863133e-09	344.9857382774353
44	-25.4211	14.400014	19.697645	-61.71859	14.847584	-24.716017	8.074098	2.57056	-41.7957	180000	-0.021390865	12.213793	0.0	-4.2006655	0.9185434	-1.7285346e-09	352.7714056968689
45	-27.883835	14.107017	14.5047245	-73.04718	14.832714	-25.280455	7.692892	1.930423	-41.82797	184000	-0.0064067785	12.471512	0.0	-5.3199353	0.918478	1.2814999e-09	360.5833866596222
46	-26.888895	14.972579	22.149744	-82.41797	14.803703	-25.544113	8.154348	2.3401456	-42.06912	188000	-0.0054239254	14.288989	0.0	-4.933523	0.9184164	2.2947788e-09	368.43295073509216
47	-26.315823	15.012048	10.837601	-62.524	14.973783	-24.536367	8.741446	2.2878766	-42.44272	192000	-0.038620867	12.006346	0.0	-4.934899	0.9183543	-2.5629998e-09	376.3068654537201
48	-26.27042	14.389052	22.674362	-60.725967	14.854478	-24.847145	8.212069	2.9670167	-43.436092	196000	0.043830555	10.915892	0.0	-4.3383207	0.9182652	1.192093e-10	384.1322138309479
49	-26.734419	14.7035475	14.970906	-70.6195	14.752768	-24.94491	7.9140005	3.3418963	-42.95591	200000	-0.023889087	12.165711	0.0	-5.04034	0.91822314	1.8775463e-09	392.0112884044647
