Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-28.27103	13.80054	5.8216767	-101.07708	-33.791386	17.964634	-1.0618643	-58.968277	12.735669	15.0	3999	6.092232	24.142355	124.855995	-34.980904	-13.430539	4.8785725	22.24821424484253
2	-27.53556	12.366985	15.247189	-82.58964	-29.222692	11.433742	-4.12381	-43.14489	12.732484	14.1	7999	97.07076	88.65687	390.77548	-71.10483	-118.92878	61.763683	48.66136837005615
3	-34.66046	23.942753	17.12097	-159.3961	-48.789898	29.000692	-12.919591	-108.85371	16.834044	31.4	11999	78.37308	100.43565	408.52847	-101.2144	-93.29962	55.85437	74.72089219093323
4	-78.30999	117.60388	59.621616	-700.4332	-65.98289	60.662983	-1.8374358	-180.05359	53.093334	43.8	15999	75.77779	128.34428	513.43384	-192.33868	-89.22528	79.444	102.09380531311035
5	-89.84437	139.17711	49.868084	-713.9181	-12.40876	568.9514	1431.0428	-1060.764	106.27273	247.2	19999	147.26027	176.46017	647.3313	-126.131935	-165.57584	149.2119	131.88176822662354
6	100.25144	948.00586	2332.1426	-849.39276	-96.85277	86.15779	-24.001295	-324.7573	524.7143	326.0	23999	246.57211	226.1899	812.72943	-138.47934	-268.54535	253.46072	163.65488004684448
7	1000.64044	1036.6082	2441.6494	-96.52986	718.2633	536.53687	1218.8776	-201.12141	668.6667	712.4	27999	362.19412	271.2269	920.5591	-191.86613	-387.10516	444.1265	203.39547967910767
8	157.65746	454.7585	1767.9802	-208.16023	-102.57424	109.6156	172.06645	-231.2565	285.5625	489.0	31999	483.93323	312.77728	1053.6627	-223.06299	-512.19885	650.51764	238.5700855255127
9	512.7735	646.9967	1564.0785	-48.024914	407.2107	355.0036	957.15857	-36.345387	476.57144	429.9	35999	584.809	341.4113	1174.5277	-331.35886	-612.915	773.5724	273.04609417915344
10	243.08002	462.6605	1547.3795	-144.29839	50.50764	427.8483	1323.7743	-180.83517	308.8125	220.9	39999	661.8524	350.7378	1217.8645	-340.58707	-689.6982	878.6348	302.85100865364075
11	275.44598	645.1576	1618.7172	-197.25296	469.38077	843.1987	1981.6622	-181.30946	278.85715	353.5	43999	727.1661	357.74414	1269.7689	-310.683	-755.31525	999.7252	335.8137149810791
12	-2.2960591	272.73657	757.99524	-352.16998	200.32808	405.3532	1336.7737	-41.181156	317.0	240.8	47999	799.27625	366.21872	1373.835	-381.58105	-828.4174	1177.3632	367.3982002735138
13	-105.75509	232.18538	108.63836	-1137.8407	-125.701065	110.40199	-30.290419	-425.21747	164.875	161.9	51999	860.1735	371.509	1380.7178	-427.19476	-889.0345	1333.089	397.0379831790924
