Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-27.001818	14.270452	19.67319	-59.704094	14.575091	0.024445498	0.10941937	0.30127662	-0.3376016	4000	1.16109845e-07	712.4173	-0.017996598	-366.4475	0.9189432	0.015042116	0.1215	34.0	8.132465362548828
1	-27.190178	13.961988	8.665002	-67.612816	14.745387	-8.85766	0.819458	0.2984721	-9.5271015	8000	-1.9550324e-08	348.39392	-0.023829382	-164.79788	0.92125136	0.0142924385	0.161	79.0	16.48287320137024
2	-25.528753	13.969198	15.372783	-66.817894	15.106061	-14.933281	0.3397618	-8.147545	-15.097961	12000	-2.8133393e-08	162.29355	-0.0047938637	-52.90061	0.9161448	0.01607026	0.17325	6.0	24.315860986709595
3	-26.12901	14.08828	13.75991	-68.147354	15.0	-18.490324	0.2408524	-13.684306	-18.5865	16000	8.225441e-09	114.56138	-0.018798666	-26.426567	0.91572976	0.015003883	0.14325	38.0	32.39679837226868
4	-26.035025	14.10526	10.719837	-67.328636	14.741697	-21.108955	0.23218864	-17.260706	-21.194582	20000	-1.2308359e-08	88.02646	-0.023215495	-10.124496	0.9178794	0.012079317	0.156	79.0	40.71798515319824
5	-25.830458	15.331942	14.435689	-61.99798	15.373077	-22.815357	0.33817005	-11.473361	-22.910564	24000	1.5497207e-08	88.62078	-0.01597283	-3.7036667	0.91268104	0.01501016	0.12325	35.0	48.77807974815369
6	-26.858242	13.765444	10.038113	-74.658485	14.94382	-23.912582	0.17500764	-20.902029	-23.991802	28000	-2.861023e-09	73.08215	-0.0071533145	-1.7583313	0.9064657	0.016016208	0.193	5.0	56.67071580886841
7	-27.504194	15.467176	24.267344	-69.65765	15.037594	-24.508438	0.49198756	-10.171538	-24.645304	32000	-2.2411346e-08	91.065	-0.023211766	-2.3472214	0.90589166	0.015010315	0.17625	54.0	64.85225820541382
8	-26.124872	14.480289	25.832014	-61.687073	14.594891	-24.969185	1.7298986	12.776933	-25.332922	36000	-5.00679e-09	80.92052	-0.02324516	-3.5090408	0.89638776	0.01504069	0.15475	49.0	73.04344248771667
9	-26.170855	15.389864	73.110504	-82.48873	14.977528	-24.964657	1.3635674	1.7953604	-25.317505	40000	1.7881394e-08	80.60155	-0.025462182	-1.7984619	0.89991224	0.013128388	0.163	79.0	81.36508393287659
10	-27.41329	13.465222	25.790089	-53.501965	14.587591	-24.920078	1.3673865	6.9127603	-25.261309	44000	-1.2040139e-08	69.9533	-0.023783594	-2.759201	0.8881924	0.012820129	0.14525	79.0	89.7057204246521
11	-26.40808	13.036435	6.513602	-54.446056	14.633699	-24.822344	2.5002608	9.876154	-25.553308	48000	-3.5762786e-09	67.27376	-0.00628513	-5.8456	0.8809437	0.015445385	0.16825	6.0	97.61366820335388
12	-24.270672	15.605187	43.33413	-57.83526	14.895522	-24.74433	2.6630273	11.357914	-25.62998	52000	-3.8146974e-09	93.16551	-0.022502415	-9.192406	0.87997097	0.015112871	0.1685	60.0	105.82636570930481
