Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	136.4753	29.544357	270.59036	91.95706	108.24601	0.0	108.24601	108.24601	20.186869	30.0	3999	44.215622	72.5586	299.21924	-32.06161	-51.30023	8.884526	21.911745071411133
2	130.26985	28.555267	250.64316	40.038696	87.24534	7.6293945e-06	87.24533	87.24533	19.694582	28.0	7999	152.49617	217.29312	874.2608	-33.67819	-181.76344	75.48873	46.69835662841797
3	142.74117	126.23094	1064.3615	-277.4141	260.99246	0.0	260.99246	260.99246	32.36207	411.0	11999	401.72635	508.42624	1696.688	-76.78953	-479.73782	280.71295	81.16574835777283
4	458.9399	342.15207	1528.3143	76.69384	291.38678	0.0	291.38678	291.38678	155.37038	89.0	15999	772.5044	722.4674	2450.9058	-126.91697	-850.203	851.8806	109.98974227905273
5	395.98718	179.6146	1008.75336	202.47202	2563.9087	0.00024414062	2563.909	2563.909	124.19355	806.0	19999	1120.3893	835.35803	2500.7266	-150.40233	-1202.1378	1585.3896	151.32340097427368
6	544.71375	275.54993	1414.7336	206.7025	250.83731	3.0517578e-05	250.83728	250.83728	220.26315	86.0	23999	1346.4078	890.9355	2501.7092	-216.94571	-1419.4478	1588.1815	180.59242415428162
7	114.484505	56.21293	272.19366	-13.377416	99.31529	7.6293945e-06	99.315285	99.315285	35.34513	87.0	27999	1489.1808	949.4843	2745.2043	-229.53294	-1567.2549	2449.4075	208.55989575386047
8	460.4943	545.64264	1995.5657	99.9051	270.0036	0.0	270.0036	270.0036	271.42856	459.0	31999	1610.2668	1064.9535	3118.4907	-162.18086	-1693.1367	2741.317	243.57394003868103
9	338.63892	291.45642	1253.833	-134.3521	408.6245	0.0	408.6245	408.6245	226.55556	162.0	35999	1848.4692	1105.0214	3345.1575	-227.59383	-1935.9283	3822.8047	271.3860909938812
10	309.79285	174.41147	673.18164	-35.72323	981.6886	6.1035156e-05	981.68854	981.68854	215.625	1000.0	39999	2103.1724	1151.749	3749.3086	-425.9096	-2192.747	4739.875	315.7524788379669
