Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-28.736713	13.235094	42.69907	-71.32199	12.814102	0.022648277	0.12709871	0.34509826	-0.38943404	4000	-0.02450811	765.0501	0.0	-357.39716	0.9189432	4.768372e-10	7.917635679244995
1	-29.36331	13.355139	9.9614	-95.45882	13.078689	-8.117217	2.148221	5.0932255	-9.541635	8000	0.031769775	421.11502	0.0	-208.62134	0.91894126	1.758337e-09	15.789117574691772
2	-27.815317	13.654769	23.704708	-74.094	12.880645	-15.044118	0.90695834	-2.973931	-15.373918	12000	0.026813144	198.43938	0.0	-72.238914	0.91899174	-4.9173834e-09	23.760645151138306
3	-27.962572	13.927266	13.023643	-87.25502	12.817307	-19.070608	0.89231586	-0.8797624	-19.289764	16000	-0.0090704365	130.62183	0.0	-32.709435	0.9190701	-7.092953e-09	31.688706636428833
4	-27.559961	13.066345	15.988297	-73.43145	12.791667	-21.79883	1.246838	0.54309535	-22.0433	20000	-0.01464833	91.90351	0.0	-12.132431	0.919108	5.632639e-09	39.58367872238159
5	-27.071503	12.359306	24.480055	-60.291115	12.64557	-23.617683	0.44865796	-9.746891	-23.742123	24000	-0.017004497	69.428185	0.0	-2.9598236	0.91910136	-2.9802323e-09	47.50025272369385
6	-27.93584	14.577318	16.160477	-99.50092	12.919094	-24.371616	0.8772368	-7.9279833	-24.605503	28000	0.012361459	92.181206	0.0	-2.9065247	0.91907716	1.0430813e-09	55.38536620140076
7	-27.074017	13.251612	31.813084	-67.95751	13.20132	-25.203363	1.2006971	-1.5314043	-25.444307	32000	0.0020047473	71.71405	0.0	-1.8422852	0.9190711	-1.847744e-09	63.257370710372925
8	-28.613224	13.378352	6.2349105	-92.9721	13.026058	-25.26858	1.2119666	-5.689772	-25.558271	36000	0.033729028	80.25871	0.0	-3.3550873	0.91908544	6.377697e-09	71.16889023780823
9	-27.361296	12.774767	8.357532	-71.21229	12.964286	-26.15553	0.41883594	-15.358367	-26.267687	40000	-0.03823936	69.65816	0.0	-0.69008636	0.91911286	1.1324882e-09	79.0329179763794
