Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-27.362787	13.985411	18.705069	-67.07416	14.474638	-25.361176	4.9165583	-9.647826	-32.2193	124000	0.0150972	30.54275	0.0	-9.306311	0.91772956	3.874302e-10	243.30788683891296
31	-25.817585	15.50382	26.161901	-65.59666	14.723248	-24.467419	6.448564	-7.8037453	-33.3207	128000	0.000175354	27.866571	0.0	-7.407814	0.91772485	8.940697e-11	251.17818975448608
32	-26.281332	13.55419	6.3553576	-58.968464	14.377698	-24.538477	6.3733797	-6.7667947	-34.17501	132000	0.053099006	17.98874	0.0	-5.0873404	0.9177221	1.2218953e-09	259.0623850822449
33	-27.48727	13.80272	27.10774	-57.747997	14.234876	-25.14341	6.6001887	-5.247473	-34.596416	136000	0.024612812	24.112446	0.0	-7.511608	0.91775423	-2.95043e-09	266.9515039920807
34	-26.354763	14.697786	29.314219	-62.84421	14.359713	-25.188446	6.6687	-4.6967344	-35.360107	140000	0.024013778	20.998873	0.0	-6.1428576	0.9177981	6.198883e-09	274.85762548446655
35	-26.25075	13.274083	11.79076	-65.58327	14.301075	-24.608938	6.981285	-3.475086	-35.84177	144000	0.018421164	16.144014	0.0	-4.8206472	0.91785276	1.9371509e-09	282.75866770744324
36	-27.643362	14.987028	15.75888	-73.89002	14.463768	-25.306208	7.060049	-3.395614	-36.358944	148000	0.020555671	19.432453	0.0	-5.0885687	0.91791993	-3.0100347e-09	290.61623764038086
37	-26.320723	13.154897	16.003681	-60.237316	14.22064	-25.05373	6.9156017	-3.041175	-37.027485	152000	0.012282081	15.094149	0.0	-4.775277	0.91798997	7.4505807e-10	298.5071749687195
38	-26.254286	14.199728	18.216799	-61.302956	14.425993	-24.87563	7.0862794	-2.9619446	-37.07089	156000	-0.01869297	16.860401	0.0	-5.895746	0.91806626	-2.0861626e-10	306.35032892227173
39	-25.864532	14.948045	25.311962	-60.59236	14.569343	-24.493322	7.7367663	-2.6921027	-37.582943	160000	-0.018029587	17.84361	0.0	-5.6669855	0.918121	-6.854534e-10	314.221638917923
