Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	1093.8075	480.56546	1578.559	253.28612	714.16925	275.6022	1214.807	274.74326	758.2	1000.0	83999	3204.6572	1344.384	5360.5503	-1115.2354	3204.6296	1344.3784	5314.4805	-1443.1968	11.750096	5.821683	120.54455	-7.0044904	-3270.583	32333.26	1116.3796200752258
22	1331.2969	307.2719	1819.8495	992.7864	954.7621	471.90436	1772.6204	374.6673	949.5	1000.0	87999	2939.0688	1205.6412	4978.079	-969.12286	2939.0464	1205.6318	4965.754	-1188.1543	11.088579	5.373148	89.03848	-9.016391	-2996.7615	27819.408	1185.892256975174
23	1255.4525	632.8507	1934.9893	512.4061	627.93933	539.3954	1696.4813	14.665394	1000.0	605.9	91999	2677.6748	1046.7584	4301.5757	-1488.3391	2677.6646	1046.7382	4328.677	-1630.2822	10.816446	5.136652	82.3212	-7.239602	-2726.5317	22110.174	1249.0193183422089
24	660.0714	667.54974	1943.73	-35.36394	810.475	120.32039	1021.7565	638.94025	549.44446	992.1	95999	2427.5737	910.1382	3769.861	-1052.9038	2427.5664	910.129	3766.4668	-978.344	10.336419	4.9930906	106.71657	-8.629215	-2470.8599	18567.22	1319.2498548030853
25	611.5892	302.96597	937.7441	51.00982	153.67052	502.2617	981.6141	-865.8586	787.0	743.4	99999	2173.3433	793.01764	3498.2312	-982.06384	2173.3396	792.955	3422.594	-857.7029	9.734109	4.706434	106.60558	-8.416613	-2209.5352	14309.658	1383.2740893363953
26	-67.010666	254.79622	487.38516	-481.4352	2.9772599	202.61607	294.92584	-349.69016	390.8	236.3	103999	1946.4252	680.69446	3080.5867	-936.02686	1946.4082	680.6196	3007.9644	-1002.63104	9.135824	4.6138725	108.913	-9.953061	-1976.621	11291.387	1439.2046158313751
27	-23.311476	108.13777	235.88199	-227.14667	773.23474	272.48688	1142.0043	144.38184	170.19048	932.4	107999	1694.7878	577.308	2510.496	-801.8413	1694.7957	577.3084	2547.1465	-692.9286	8.556555	4.398835	183.83136	-8.84479	-1717.8636	8869.932	1508.0695972442627
28	240.75179	292.8479	593.56726	-144.05663	-3.2847939	167.77605	173.6459	-419.13724	850.6	785.4	111999	1446.3931	485.3045	2086.6514	-1126.1995	1446.3824	485.3381	2103.6733	-865.44495	8.5433445	4.324865	140.1185	-10.057788	-1464.2732	6339.3135	1573.5930852890015
29	-195.51935	242.97968	238.0275	-478.8232	-805.3126	633.7126	-3.7523787	-2143.0261	705.3333	560.5	115999	1226.6472	405.92126	1822.5911	-785.1251	1226.6393	405.94177	1789.8984	-804.15314	7.6711426	4.0241785	94.28289	-11.369539	-1240.8514	4525.5146	1636.5052778720856
30	10.155309	451.3159	1068.0585	-314.40903	-227.33902	549.86566	1043.6458	-1078.8633	576.0	516.2	119999	1033.8373	337.14725	1564.7515	-832.70496	1033.8252	337.12607	1536.133	-705.99786	6.7582726	3.9908533	125.17421	-8.879284	-1045.0115	3001.9575	1699.72385430336
31	285.1652	344.2376	818.4315	-166.5473	590.7738	488.8896	1248.6241	-198.1813	686.6667	1000.0	123999	870.5494	281.56512	1299.881	-1942.8054	870.5407	281.5537	1362.1257	-1745.8845	6.1104326	4.0127606	114.37963	-10.480423	-879.93567	2287.911	1769.479293346405
32	458.56573	403.00842	945.2018	1.6469302	219.21614	796.0444	1658.2634	-903.8307	644.6	838.7	127999	740.28174	239.4889	1178.7068	-859.3617	740.2783	239.48067	1098.1508	-940.6729	5.7555237	3.8245933	139.04938	-10.5184965	-747.8726	1590.322	1836.6500236988068
33	440.10278	957.69446	1777.8586	-956.7491	835.38904	294.03024	1514.8973	502.9252	655.2857	1000.0	131999	626.39166	206.36067	951.6978	-839.436	626.3897	206.35846	967.85425	-467.3061	5.70878	3.702548	151.29738	-10.615749	-632.01715	1193.114	1906.5311162471771
34	1192.3077	766.0133	1918.2576	-73.64676	1112.6167	936.9043	2521.7913	-69.11393	832.2	787.1	135999	526.06537	174.46556	782.29895	-991.612	526.05835	174.48378	772.54675	-919.08496	5.5875325	3.4995177	80.93678	-11.260155	-530.5396	780.6654	1972.7756774425507
35	690.0511	486.0697	1353.9165	27.115211	955.8265	379.32187	1695.2354	288.90482	619.1667	1000.0	139999	447.80927	146.88162	694.86255	-1293.8346	447.8047	146.91452	667.4006	-993.68494	5.108345	3.478612	121.76542	-11.574965	-451.8707	636.45526	2042.8667304515839
36	1071.7676	564.1634	1816.6439	299.45773	649.21204	545.8491	1613.6683	-280.30057	828.75	837.1	143999	382.67307	128.7061	582.8486	-894.2865	382.67267	128.7131	581.6944	-894.24133	4.4875283	3.348061	83.47176	-14.11602	-385.89346	489.39313	2108.695557117462
