Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	-99.659615	201.69005	162.66779	-614.9842	217.5689	541.33594	1203.277	-579.4253	230.63158	445.3	127999	879.7927	231.17827	1270.2242	-364.68268	-897.4523	783.3409	1241.2976469993591
33	-47.938747	514.91943	1541.0387	-483.13052	-308.82465	141.0122	-38.2802	-596.7391	344.25	206.8	131999	932.3285	250.17505	1286.796	-566.37054	-950.643	826.8363	1279.7322511672974
34	35.183346	143.47206	377.3421	-265.41757	-173.14264	270.8482	42.69689	-709.76245	154.12	369.5	135999	979.0994	266.68112	1322.851	-497.90097	-997.3916	961.1869	1321.4335873126984
35	261.1613	355.95663	1088.0918	-27.955694	-4.0518126	873.83325	1334.0967	-877.477	536.8571	829.5	139999	1001.75653	262.94528	1321.7114	-352.05533	-1019.1066	965.03876	1371.0005493164062
36	534.05383	681.8937	1645.239	-219.46184	48.67603	205.42944	488.09753	-201.59846	721.8	411.5	143999	1000.0276	250.97638	1322.1707	-309.61954	-1016.7118	992.75006	1411.7010653018951
37	416.1954	631.4955	1647.4639	-352.8092	129.01703	399.67838	981.80176	-455.67783	514.44446	302.1	147999	996.02606	241.9166	1420.1332	-279.27698	-1012.5261	978.1232	1450.8670055866241
38	50.53912	119.51562	249.97237	-207.98912	-83.6168	94.00201	74.609566	-272.8052	191.80952	142.1	151999	1004.1684	243.7766	1513.3477	-683.5019	-1021.67346	1014.40125	1487.7196950912476
39	-264.63025	288.8539	149.75238	-971.0092	-686.02234	475.21832	-10.587086	-1537.8859	294.5	474.8	155999	1019.0915	247.81476	1620.4828	-460.4658	-1036.153	987.4276	1529.144492149353
40	-192.53069	183.53809	57.117958	-493.69794	-1603.0312	74.695946	-1501.9604	-1723.5714	466.875	1000.0	159999	1026.112	246.50044	1587.2762	-314.93625	-1043.0383	1046.1594	1580.124850988388
41	-575.6204	438.97958	0.56131613	-1254.9103	-824.70374	517.039	42.11677	-1222.4695	410.3	915.1	163999	1043.7316	246.49068	1607.8613	-314.89453	-1060.7996	1169.9023	1630.88787150383
42	-258.45337	343.1483	89.76452	-980.0499	-71.68763	238.99164	338.85608	-652.0963	455.1111	234.0	167999	1028.8917	239.33014	1502.8625	-395.16785	-1044.6066	1070.5115	1670.690482378006
43	138.3163	241.83392	617.2923	-135.08774	369.06705	372.1871	1352.7102	63.228424	269.6	252.1	171999	1041.7385	240.93884	1456.9077	-417.32608	-1062.4387	1283.0466	1710.4863533973694
44	8.515417	227.27895	642.0075	-283.0579	-779.37115	977.59436	58.285774	-2536.626	228.73334	380.6	175999	1135.399	265.4063	1468.7515	-350.6311	-1157.592	1414.7233	1752.2485091686249
45	-146.98929	267.99927	310.34586	-667.1393	494.26285	453.18463	1317.0011	-97.67959	374.5	605.4	179999	1135.1707	254.89838	1413.044	-365.9301	-1151.7732	1393.3085	1797.6325736045837
46	233.97417	780.8623	1628.3881	-1120.3419	-186.47049	195.83128	-37.60545	-670.22473	434.9091	192.1	183999	1109.8676	246.22491	1471.9374	-336.22623	-1127.9025	1273.0513	1837.2223508358002
47	-308.38376	554.7749	534.0655	-1597.9043	-316.41766	329.34744	152.20903	-872.78436	211.4	432.1	187999	1118.9163	254.0854	1416.4266	-355.7039	-1137.3002	1310.927	1880.3691728115082
48	287.03073	394.2111	815.87115	-421.83392	386.0803	381.49692	1003.1218	-163.3067	680.7143	509.1	191999	1122.4817	254.50511	1409.4723	-415.04126	-1139.5227	1223.3947	1924.4991581439972
49	81.04158	195.91238	501.2852	-127.890785	85.98385	372.7101	1119.1757	-176.80165	292.14285	219.4	195999	1092.7704	240.64044	1359.8478	-338.63535	-1108.2042	1220.1772	1963.1127650737762
50	95.74777	736.73016	1145.5275	-1413.3447	19.841175	134.08473	201.86743	-321.18082	466.75	214.2	199999	1049.9253	226.4028	1307.7515	-497.32877	-1064.0435	1078.938	2003.1132683753967
