Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	406.49634	300.1481	953.8078	125.68718	132.55531	0.0	132.55531	132.55531	445.875	41.0	83999	3695.5457	2103.3442	7372.886	-1624.0641	3695.5425	2103.2905	7297.7803	-1682.1302	12.200041	5.010814	103.26911	-7.745037	-3790.466	36443.77	1308.6714470386505
22	361.09033	452.5673	983.53735	-292.2656	-93.56549	0.0	-93.56549	-93.56549	1000.0	158.0	87999	3694.479	2044.9138	6794.782	-1752.0016	3694.481	2044.9181	6729.61	-1815.2281	12.9904785	5.480796	136.56686	-6.762759	-3796.0115	31581.611	1376.5679278373718
23	412.65308	803.11926	1432.2893	-566.6651	-197.21873	0.0	-197.21873	-197.21873	1000.0	1000.0	91999	3600.9849	1926.1173	6047.8013	-1088.5859	3600.9714	1926.0559	6048.087	-1011.31506	12.084912	5.1716933	104.78079	-7.320863	-3688.7068	28131.197	1467.7225813865662
24	543.9523	349.39938	1133.6731	47.13337	573.5111	0.0	573.5111	573.5111	865.2	1000.0	95999	3414.1094	1742.6542	5725.269	-643.95557	3414.0925	1742.636	5608.6797	-759.4068	11.486837	4.6990247	103.313644	-5.837316	-3491.5369	25965.455	1553.2734830379486
25	415.8724	147.8015	667.80347	262.65543	718.7586	6.1035156e-05	718.75854	718.75854	678.8	1000.0	99999	3018.9534	1507.1787	5023.5747	-1292.8241	3018.953	1507.2062	5177.47	-1263.8724	11.21221	4.3880014	81.27031	-8.677515	-3075.285	18669.016	1639.7415919303894
26	826.4359	503.7269	1507.9271	280.35373	22.337843	0.0	22.337843	22.337843	1000.0	1000.0	103999	2665.2266	1247.305	4424.114	-1310.532	2665.2263	1247.3	4455.99	-1123.2449	10.490599	4.328585	98.85048	-8.3451805	-2718.473	16548.785	1726.3872699737549
27	218.12378	332.21194	497.18048	-335.4779	162.94864	1.5258789e-05	162.94865	162.94865	1000.0	69.0	107999	2433.3972	1051.3065	3981.078	-922.26483	2433.4036	1051.272	4039.8733	-797.256	10.400815	4.2506804	83.86368	-8.610004	-2482.0403	12432.616	1795.8194231987
28	557.8244	542.66284	1551.6538	31.84471	1847.5475	0.0	1847.5475	1847.5475	772.0	1000.0	111999	2206.5842	908.6031	3651.5261	-737.2045	2206.5874	908.65015	3592.129	-712.97406	9.764251	3.9756732	99.63787	-9.336993	-2245.323	10325.455	1881.9123516082764
29	1052.5696	572.1004	1787.1589	353.2456	1547.7848	0.00012207031	1547.7847	1547.7847	682.8	1000.0	115999	1958.3168	776.93536	3198.873	-512.3804	1958.3121	776.9609	3242.0803	-741.25024	9.238071	3.9563262	79.90466	-7.743638	-1993.4209	8364.569	1967.653790473938
30	714.9042	445.59714	1664.6204	230.43872	724.7651	0.0	724.7651	724.7651	504.1111	1000.0	119999	1801.6464	693.4943	2949.4644	-586.18805	1801.6396	693.50653	2982.2874	-690.15	8.98498	3.8676662	91.24768	-8.966392	-1834.7197	7281.3843	2054.169292449951
31	1054.7633	867.2838	2289.5303	-53.442413	1608.4895	0.0	1608.4895	1608.4895	611.5	1000.0	123999	1631.8552	630.63556	2725.7644	-634.8795	1631.8646	630.7366	2757.411	-703.31433	8.379427	3.6965346	92.362854	-8.069203	-1658.1875	6091.391	2141.3824541568756
32	449.55502	102.42776	540.10114	285.12863	-250.1661	1.5258789e-05	-250.16612	-250.16612	1000.0	1000.0	127999	1447.1615	554.358	2385.379	-616.1569	1447.1667	554.388	2421.2717	-709.73663	8.486801	3.7025511	85.27581	-7.152133	-1470.584	4523.515	2226.9877574443817
33	451.05823	434.42435	963.0137	-87.68177	1587.5646	0.0	1587.5646	1587.5646	915.0	519.0	131999	1300.4326	497.52686	2166.8303	-550.00385	1300.4346	497.58618	2180.5234	-522.9599	8.534164	3.7243798	136.39568	-8.527334	-1321.4834	3788.9587	2304.9820759296417
34	1242.598	712.14166	2231.6414	315.45502	1293.7527	0.00012207031	1293.7526	1293.7526	818.0	1000.0	135999	1177.7767	445.4909	1971.0988	-488.1746	1177.7717	445.571	1964.6234	-445.03537	8.138369	3.8244293	91.922165	-9.848184	-1197.4165	3213.796	2391.3103828430176
