Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-28.396875	13.800725	25.625319	-70.19202	-22.288628	20.929615	2.3364546	-62.359913	12.713376	18.5	3999	-10.774234	9.445725	26.865366	-37.66351	-10.771926	9.446746	27.179327	-36.81463	-0.09261776	2.0404427	11.955585	-10.834184	9.651178	6.024867	37.378990650177
2	-26.835627	13.408542	11.393469	-73.06589	-29.090414	15.278028	-7.9802785	-51.43011	13.029316	14.3	7999	-19.769363	9.658225	40.233643	-46.30577	-19.769318	9.651801	40.46453	-46.412453	-0.03153668	2.213337	17.969994	-12.256555	18.884407	3.563042	83.40344762802124
3	-26.139757	16.66629	59.5655	-76.80231	-16.003107	21.257057	31.227505	-49.438675	13.993007	16.4	11999	-21.613655	10.866036	58.37707	-51.329407	-21.61377	10.858241	59.4788	-51.885723	-0.34112313	2.0356545	14.722775	-12.379263	21.000912	3.905442	132.05252838134766
4	-25.416065	17.458206	64.47827	-64.6022	-4.940208	46.488884	130.2127	-38.840515	14.16312	19.0	15999	-23.815918	10.968408	62.44189	-53.529907	-23.81598	10.963571	61.78971	-53.62072	-0.8257864	1.7934921	10.388849	-12.032764	23.573942	3.4033291	182.1612753868103
5	10.57812	167.68832	1283.6187	-57.840107	233.46611	432.04538	1106.7914	-45.005062	27.251701	89.2	19999	-20.1695	19.56958	130.46463	-53.65202	-20.169806	19.56699	132.19197	-53.52304	-0.7160049	2.1786795	13.189699	-13.585129	19.749054	4.0974984	230.02288365364075
6	129.78403	641.76166	5168.141	-58.37246	71.96855	311.73053	1006.2465	-68.15328	54.714287	33.2	23999	-3.5012002	46.30868	222.55441	-53.20227	-3.5015204	46.306015	219.57736	-52.901653	-0.09997631	2.8174686	18.100288	-12.236065	2.634639	8.627705	275.9409272670746
7	865.51996	1970.1279	6039.9478	-52.218674	4225.9307	5195.4663	12000.93	-43.54679	183.78947	419.9	27999	24.52603	82.98553	352.28326	-54.773464	24.526613	82.98268	350.99963	-53.725826	0.71170974	3.518488	23.20998	-12.769133	-26.472017	26.919262	330.30038595199585
8	2907.4885	4638.3975	13125.942	-74.8906	2766.7727	4252.481	9972.8955	-37.176937	318.83334	316.4	31999	80.89948	141.50993	496.10883	-60.039406	80.89983	141.51186	498.07834	-60.93777	1.8412875	4.1781697	25.149015	-11.819452	-84.48785	89.25468	386.7356324195862
9	10876.129	1236.559	12862.106	9485.488	8236.67	6824.504	15637.154	-42.85436	964.75	608.8	35999	169.94974	221.4292	709.57776	-62.4405	169.95135	221.42723	712.2104	-62.913654	3.08494	4.732095	26.561321	-11.777141	-175.65538	221.9876	449.5816373825073
10	6813.2266	8427.769	18896.19	-44.30189	9563.516	9591.592	19304.783	-34.499645	407.5	504.6	39999	289.39352	317.21127	940.4378	-62.649963	289.39377	317.20343	940.8031	-60.81849	4.059836	5.0068336	31.751451	-10.9856415	-297.68515	475.9485	507.9588873386383
