Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	-167.0687	322.48602	457.21915	-839.9859	-132.95078	347.4101	547.8743	-692.65454	423.4	708.9	127999	995.863	239.50894	1459.9534	-432.6791	-1012.5177	1060.7411	1230.4212403297424
33	-180.72568	281.68567	227.55936	-772.15485	-370.72446	548.88794	825.52765	-1168.0239	416.36365	487.4	131999	986.0768	231.61987	1481.4381	-566.4405	-1002.926	1072.32	1272.6122617721558
34	-41.49235	321.81	1124.0361	-381.66156	-35.575684	65.944145	75.04613	-159.70786	219.8125	318.5	135999	985.0366	229.9222	5495.9893	-503.5067	-1001.73315	1284.6427	1310.1403336524963
35	-108.34226	132.22444	6.5756392	-491.95673	146.46425	245.4972	511.69278	-306.0304	407.63635	657.0	139999	972.2512	222.40857	4058.739	-846.2157	-988.2115	1078.7454	1355.1301038265228
36	92.85733	198.32549	467.20032	-141.4146	-262.91327	325.5927	355.83176	-701.1048	392.125	829.4	143999	951.3457	222.18977	2020.6957	-1502.2875	-965.70886	1041.2904	1401.898634672165
37	-43.895218	603.23004	854.88403	-756.1121	144.35663	217.1978	422.89853	-189.13475	988.75	830.6	147999	923.385	215.15753	1570.8699	-1115.1318	-937.7698	945.90326	1449.0542211532593
38	322.42673	573.1852	1502.8192	-232.31367	-448.89545	473.8811	-31.353197	-1159.3588	554.1111	425.7	151999	919.3076	213.46979	1946.6365	-1651.0017	-934.25574	1028.7854	1489.9262156486511
39	241.86642	430.29883	931.4814	-213.82019	2670.1636	189.44292	2934.3765	2411.2546	753.25	1000.0	155999	916.44574	210.0762	1324.146	-1328.0824	-931.03326	946.938	1539.8888092041016
40	1039.7708	1012.0314	2477.535	-398.15677	-56.350777	54.922768	47.951733	-112.06171	713.7143	104.8	159999	907.9316	200.49359	1420.9048	-975.1557	-921.5917	890.79016	1574.821046590805
41	-75.344604	120.85618	185.96855	-317.35977	-28.397348	319.99884	890.5523	-331.20377	147.4762	200.2	163999	881.87665	187.80994	1528.1406	-1215.695	-894.4116	831.22327	1610.9223399162292
42	475.89066	790.6591	1620.9154	-367.22964	1848.183	1126.7749	2839.9126	8.077047	626.2857	752.7	167999	843.0809	181.90057	1338.8208	-1490.7334	-854.56415	810.5936	1657.0677485466003
43	11.609171	273.8738	1122.4548	-319.7206	-457.86417	458.89423	22.103281	-1312.9092	152.68965	264.4	171999	814.9846	173.98167	1468.934	-775.7939	-827.0417	758.1652	1695.578708410263
44	-289.6174	266.3444	21.28921	-1019.5169	-128.94052	84.77545	-42.267975	-317.4845	312.46155	137.6	175999	806.30865	174.29622	1226.0505	-845.8588	-818.7896	726.3354	1730.8086967468262
45	-165.72821	261.8349	103.89729	-1102.3352	-189.65456	182.13646	46.350155	-493.87527	216.27777	475.1	179999	795.6925	170.41518	1181.7167	-1225.9097	-807.7879	743.86017	1771.9434905052185
46	104.50576	428.54678	1080.2163	-542.1888	-211.15002	195.13191	34.324467	-468.84732	412.8	154.4	183999	781.7551	167.64244	1028.0398	-813.5229	-793.3225	651.9195	1808.031315088272
47	92.310005	89.3556	312.39703	2.8861334	-1336.5352	553.95074	239.53253	-1678.7709	394.3	1000.0	187999	763.57294	164.18317	966.4624	-379.56567	-774.7803	654.8483	1858.9433002471924
48	411.0543	175.0936	579.2823	103.966415	-310.80832	214.8085	52.317883	-706.6764	807.2	537.5	191999	748.70374	156.71498	944.2541	-588.47144	-759.7705	603.3521	1901.0594396591187
49	140.55995	508.10037	1021.1789	-322.23956	71.5768	718.2643	1621.0873	-857.70184	562.1429	810.5	195999	729.3747	150.67001	917.9773	-437.34808	-739.68835	587.7177	1948.1764838695526
50	-14.169438	310.82825	600.4468	-353.7012	-326.44318	382.1794	57.379986	-1366.6401	567.1429	672.1	199999	709.01373	147.77925	945.5829	-447.0861	-719.1919	516.2262	1993.1135416030884
