Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-26.556412	16.781954	108.07997	-71.10302	14.914179	0.014315394	0.1127098	0.36337584	-0.34771222	4000	0.014753229	715.75287	0.0	-367.51813	0.9189432	-7.4505807e-10	7.90406346321106
1	-25.909546	15.836372	32.954346	-72.72506	14.796296	-8.9734745	0.7216319	-0.62342864	-9.578855	8000	0.0037864514	339.04443	0.0	-148.3628	0.91909194	-4.738569e-09	15.7844398021698
2	-27.333542	14.0031	7.25975	-60.913303	14.463768	-14.805327	0.34327695	-10.938156	-14.974011	12000	-0.016673645	180.3282	0.0	-68.70908	0.9192231	5.632639e-09	23.636051654815674
3	-28.954563	14.739325	24.28489	-68.145615	14.611722	-18.814026	0.24970901	-11.9767685	-18.9227	16000	0.01648122	133.85168	0.0	-34.821335	0.9192159	-4.5597552e-09	31.519420862197876
4	-25.49231	14.009751	21.74873	-61.07811	14.873135	-21.823738	0.20306665	-18.40964	-21.899168	20000	0.018495277	80.73024	0.0	-6.647766	0.9192616	-4.1425228e-09	39.40898275375366
5	-25.978552	14.166173	20.386833	-57.088432	14.576642	-23.184765	0.47246805	-13.203401	-23.293575	24000	-0.013077128	77.30222	0.0	-3.1117096	0.91930044	9.715557e-09	47.40817642211914
6	-26.374891	14.5109825	39.299614	-66.25775	14.345324	-23.906946	0.66189015	-12.356335	-24.084913	28000	-0.023989404	73.99923	0.0	-1.7463074	0.9193262	3.0100347e-09	55.37440776824951
7	-26.401417	15.710938	27.042295	-64.95206	14.654411	-24.45	1.3654822	11.967246	-24.720135	32000	-0.002559964	95.809555	0.0	-2.5791855	0.91927755	7.420778e-09	63.28890538215637
8	-26.494465	14.887252	48.19643	-69.62216	14.487272	-24.887465	0.19454518	-21.736923	-24.975521	36000	0.040128104	87.974594	0.0	-3.4088593	0.9192349	-1.5795231e-09	71.20680665969849
9	-26.484522	14.795029	17.206324	-58.458855	14.851301	-24.426609	2.5634751	12.283357	-25.00185	40000	0.03630525	82.44543	0.0	-4.2003555	0.91925573	-1.8775463e-09	79.11364412307739
10	-25.40324	14.77881	17.929773	-71.38809	14.876865	-24.89449	1.6374878	1.6384215	-25.381374	44000	-0.005631294	81.8466	0.0	-6.925499	0.9192918	-4.3213366e-09	86.99818634986877
11	-26.704151	15.757317	79.27656	-62.29336	14.386282	-24.201954	3.0662959	12.316943	-25.304396	48000	0.040451087	94.94233	0.0	-12.856735	0.91932684	1.7881394e-10	94.89605689048767
12	-26.503195	14.924119	26.043821	-63.18169	14.914179	-24.863832	2.0994852	0.46373895	-25.652763	52000	-0.034286518	80.828445	0.0	-4.919487	0.9194047	2.3543836e-09	102.78211998939514
13	-25.266432	15.280874	12.058104	-71.047646	14.811111	-24.821438	2.2651203	1.4926215	-25.685759	56000	0.04044152	83.5296	0.0	-5.949585	0.9194357	-2.7120113e-09	110.73589587211609
14	-26.034718	14.868305	10.856471	-69.7425	14.8	-24.344702	1.9311237	-5.2422657	-25.536533	60000	0.01198295	82.56262	0.0	-5.3109283	0.9195026	-4.8577786e-09	118.65692901611328
15	-25.796734	14.995961	33.39494	-65.39749	14.730627	-24.655863	2.1099894	5.5183797	-25.867407	64000	0.028673366	88.01336	0.0	-9.747101	0.9195658	3.7252903e-09	126.59941911697388
16	-26.720491	13.678325	25.07217	-56.50364	14.726937	-24.025284	3.1020222	-0.213082	-26.278147	68000	0.0017455769	73.026764	0.0	-9.949173	0.9196456	-1.7881394e-10	134.49675107002258
17	-26.622337	14.414596	63.012646	-58.58449	14.723248	-24.340837	2.9010928	-9.772045	-26.823257	72000	-0.0051072845	66.70558	0.0	-10.140312	0.9197164	3.1888485e-09	142.40321612358093
18	-28.288565	14.584733	15.753293	-77.12467	14.433213	-24.497887	2.7675097	-14.059615	-27.462116	76000	-0.0074456567	66.98293	0.0	-13.950569	0.9197825	2.026558e-09	150.34556221961975
19	-27.054083	14.379044	13.629817	-61.60945	14.774074	-24.862276	3.3551054	-11.694078	-28.70349	80000	0.022194358	55.24562	0.0	-12.211613	0.91983426	4.0233137e-09	158.27783870697021
20	-27.167578	15.080047	43.70773	-63.92813	14.734318	-24.460533	3.9277291	-9.700993	-29.607082	84000	-0.029981239	54.44835	0.0	-13.933121	0.91988814	-1.192093e-10	166.12630653381348
21	-26.23498	14.341509	15.785664	-69.73714	15.05283	-24.343637	4.6022906	-9.801841	-30.952923	88000	0.016782697	40.032574	0.0	-10.751726	0.9199244	-1.4007091e-09	173.9907510280609
22	-25.529116	14.916743	24.933287	-57.50577	15.030075	-24.796305	5.112363	-8.536777	-31.78407	92000	-0.010189342	35.395565	0.0	-9.211624	0.91996443	5.6922436e-09	181.90438318252563
23	-27.404484	15.146406	23.00664	-65.95673	14.947565	-24.454527	5.9955697	-5.637488	-32.487995	96000	-0.07275387	32.6743	0.0	-9.529978	0.9199899	2.7418137e-09	189.82602167129517
24	-24.760403	14.3152685	26.739902	-56.01167	14.719557	-24.701427	6.3397603	-4.98633	-33.48568	100000	0.013729389	25.332567	0.0	-6.9853783	0.9199598	4.7683715e-09	197.69447946548462
25	-25.932592	14.670394	11.629634	-63.350754	15.064151	-24.318783	6.862641	-2.9583504	-34.009144	104000	-0.0046961964	22.083784	0.0	-6.3867636	0.9199491	5.0365925e-09	205.57294631004333
26	-26.566257	13.959418	16.333443	-55.72161	14.4404335	-24.838266	6.6859303	-2.4818685	-34.612396	108000	-0.016173635	21.707565	0.0	-5.444069	0.9199311	-4.2021275e-09	213.36656737327576
27	-25.71679	16.886534	39.69121	-62.576443	15.0679245	-24.283012	7.731716	-1.8208544	-35.60947	112000	-0.031189712	24.89659	0.0	-6.7752438	0.9199059	3.516674e-09	221.2347960472107
28	-27.037231	14.831039	10.429653	-61.453423	14.498181	-25.092304	7.733594	-0.7074069	-36.25975	116000	-0.014557601	16.15855	0.0	-4.9856157	0.91986376	-1.4305115e-09	229.15436029434204
29	-26.513515	13.438073	4.2445865	-59.60541	15.109848	-24.645184	7.520937	-1.4330297	-36.67832	120000	0.028000744	16.416512	0.0	-5.7915983	0.91981494	2.0563602e-09	237.0196578502655
30	-25.261557	15.482767	20.231266	-81.38212	15.132576	-24.469078	7.714827	-0.562298	-37.26439	124000	-0.04321867	17.379246	0.0	-5.482498	0.9197847	3.4272671e-09	244.85715985298157
