Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-27.425638	13.104149	25.734032	-89.94025	-22.072723	14.716392	14.642099	-37.490017	12.526646	15.3	3999	-8.056959	8.945037	18.67538	-32.79699	-8.058803	8.944153	18.431946	-32.284355	6.6434402	6.624147	26.91290593147278
2	-28.731	14.294038	32.12529	-97.52374	-37.404976	10.980502	-17.413702	-56.922237	12.833333	11.4	7999	-16.097416	10.228054	36.524494	-42.84823	-16.09872	10.231639	37.497265	-43.04979	14.056829	3.2407835	58.01844835281372
3	-28.375898	15.64272	23.764765	-90.43404	-43.640068	22.046621	-16.377481	-103.35432	14.641026	17.5	11999	-20.352787	11.959862	53.976707	-58.295994	-20.353247	11.9633875	54.56208	-58.160286	18.678368	4.0732884	90.42768287658691
4	-22.256493	52.097702	597.1471	-95.82251	36.004467	162.6074	522.32416	-34.489975	18.442396	38.8	15999	-23.485388	12.567606	63.66263	-65.037605	-23.485647	12.574173	62.663383	-65.70402	22.099394	4.8891406	124.16599774360657
5	47.21513	347.65924	3262.9314	-60.094368	168.17989	421.64682	1263.2318	-47.822624	37.490383	75.9	19999	-16.66781	26.540928	100.64752	-69.64378	-16.668217	26.544554	99.98638	-68.95408	14.986747	6.017829	158.98508834838867
6	124.98488	514.0778	3289.4275	-71.088554	143.87076	348.8773	884.8617	-61.15399	60.10294	64.7	23999	-2.57061	43.120804	138.27	-69.03842	-2.5713375	43.119984	134.65662	-69.15862	0.30605322	8.780404	193.60578393936157
7	159.04608	615.7018	4708.382	-53.88697	550.8762	1061.6903	3598.4253	-32.34104	61.78125	179.9	27999	12.598216	56.949203	155.34229	-68.19553	12.597838	56.94881	156.95956	-67.99058	-15.364653	14.152286	229.82358622550964
8	800.17883	1641.8911	5731.527	-36.158886	2435.2954	3002.8035	6573.14	-52.682434	200.3	411.7	31999	32.72741	73.35772	210.0376	-74.07602	32.726624	73.3579	207.6763	-74.2919	-36.419243	24.814573	274.05155181884766
9	3491.9492	3468.261	7798.2314	-31.207327	1019.7048	1835.404	4701.1533	-37.003197	519.1667	145.3	35999	58.753555	91.49106	265.37704	-76.78687	58.752876	91.48949	265.42722	-76.84814	-63.486477	42.462196	313.1691884994507
10	1406.3427	2687.1887	7640.7	-42.13395	427.3764	410.81247	1076.9949	-33.030937	223.77272	155.8	39999	90.43375	113.75253	333.0598	-75.55228	90.43306	113.74734	333.94153	-73.325775	-96.78718	71.632675	352.97367453575134
