Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	51.84084	88.98382	295.83136	-244.38489	61.785126	64.059074	157.66426	-28.177694	15.2835245	12.8	3999	12.347875	25.743774	134.72713	-86.1434	12.346883	25.739004	135.31578	-83.49944	-15.029603	30.498037	27.673370361328125
2	43.97363	79.637405	341.36252	-170.18074	67.19452	38.721138	153.3165	21.115221	15.32567	12.1	7999	60.481644	60.59976	289.41302	-93.96305	60.48383	60.589005	295.16678	-93.55795	-75.652	78.869415	62.065383434295654
3	67.54348	84.491295	290.12216	-156.74544	106.26146	84.66426	213.90979	-65.11767	16.840336	19.3	11999	107.9188	83.63669	381.2715	-159.89099	107.92167	83.6263	380.41083	-186.64449	-125.25999	120.04232	94.53155493736267
4	354.19034	471.10345	3415.6128	-21.821218	1153.7141	891.79285	3364.7417	268.50534	47.46988	206.9	15999	117.55522	115.46605	460.965	-86.95734	117.54505	115.474236	463.14636	-85.66856	-131.43275	125.9183	132.49636578559875
5	1012.3858	827.15857	3407.6943	196.75327	1350.5103	2178.4817	7775.542	199.60646	167.86363	194.1	19999	161.26854	153.88745	551.4739	-98.327545	161.26006	153.89955	564.1673	-104.769394	-179.63861	168.44836	168.4389717578888
6	2518.3635	3116.3794	9555.84	297.86697	3431.2449	2876.2153	9260.88	572.6973	297.25	386.0	23999	219.39845	186.62134	607.7041	-107.6583	219.3972	186.62825	612.99316	-105.38243	-239.62907	209.67513	210.14944195747375
7	6103.2363	4088.1982	13891.243	511.2468	7040.677	3967.924	11446.098	507.95877	511.25	746.1	27999	291.32263	217.43567	681.70966	-111.53897	291.3194	217.44392	681.5697	-111.703156	-311.42062	314.94388	258.64251828193665
8	7760.454	3225.2346	12694.3	2644.388	8968.806	2985.5994	12142.217	897.05524	789.2	912.0	31999	354.74948	239.62758	736.69727	-119.7977	354.74927	239.63762	751.30457	-114.19532	-375.59302	404.68607	311.496376991272
9	9800.951	1378.3922	11017.202	7107.982	10227.164	5690.501	18367.334	815.4501	898.6	739.5	35999	422.52884	261.6452	790.4181	-119.50398	422.52872	261.646	787.87427	-113.40806	-443.27216	501.9756	360.34535670280457
10	5893.588	4708.278	14449.868	1031.5052	11880.714	1279.4103	14209.534	10370.204	486.875	1000.0	39999	478.327	276.55023	837.51996	-131.39565	478.3296	276.55328	832.91693	-124.345436	-500.6928	655.9711	415.6015408039093
11	10200.838	4128.6226	15444.817	3886.892	11609.436	4011.5542	16678.133	944.0794	845.0	907.9	43999	534.6312	290.29828	877.73883	-133.4609	534.6305	290.30515	880.5037	-125.799034	-556.8375	957.8064	468.43774700164795
12	11663.469	2606.025	15654.778	7713.7026	12267.278	1685.6023	14382.093	9675.347	906.6	1000.0	47999	592.0359	302.61996	930.9031	-143.2482	592.0352	302.63385	915.93274	-147.0122	-613.8642	1056.494	521.0683932304382
