Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-28.550257	11.935883	20.576824	-62.93776	12.938511	-25.854023	1.4367117	-3.3113542	-26.629047	112000	2.861023e-09	60.74186	-0.044724654	-4.221737	0.7835713	0.015263752	0.25025	77.0	233.67245388031006
28	-28.241125	14.7378	39.832603	-83.8247	12.599369	-25.966381	0.8714822	-8.513864	-26.807293	116000	-2.503395e-09	89.27575	-0.040724646	-5.920479	0.76448935	0.012703023	0.21075	79.0	242.2487325668335
29	-27.584116	13.085394	25.849737	-80.204666	12.807074	-26.06475	1.4991015	5.7284994	-27.2011	120000	-1.5974045e-08	78.092384	-0.032406095	-9.008179	0.7591828	0.015162862	0.17925	47.0	250.38556742668152
30	-26.394384	13.515065	30.124262	-68.66351	12.507837	-25.291704	2.4770405	12.251669	-26.67312	124000	-1.3828277e-08	81.29789	-0.023954527	-15.18573	0.76033837	0.015574737	0.16475	25.0	258.5296084880829
31	-27.578564	12.779023	18.579601	-66.85351	12.484375	-24.864746	2.1984105	6.9558096	-26.788666	128000	7.390976e-09	70.74059	-0.016447127	-11.270515	0.7620959	0.015081924	0.13625	12.0	266.52861976623535
32	-28.379612	13.669798	27.882866	-74.23073	12.572327	-25.425968	1.772653	-7.2425303	-27.677034	132000	-5.00679e-09	79.26604	-0.00641396	-9.372284	0.7610126	0.018623054	0.18325	4.0	274.46536779403687
33	-27.020369	14.602206	15.001641	-81.44352	12.700637	-25.831457	1.79861	-11.667942	-28.584843	136000	1.1920929e-09	85.95228	-0.015121268	-14.8166275	0.76026636	0.015246254	0.15025	11.0	282.4768204689026
34	-26.949547	13.432517	34.053593	-70.130646	12.820513	-24.959476	2.7028434	7.4116817	-29.065472	140000	7.867813e-09	71.521454	-0.008280654	-17.094975	0.7590364	0.015624177	0.1375	7.0	290.46198773384094
35	-29.174402	12.9378195	6.196922	-64.25397	12.371517	-25.474957	2.981686	-1.2691922	-29.915499	144000	-3.8146974e-09	61.41629	-0.038419608	-16.105633	0.75792396	0.015075591	0.2065	53.0	298.7378046512604
36	-29.3797	12.652976	22.615255	-75.58887	12.021085	-26.07231	3.3711512	-5.027679	-31.888298	148000	-1.1920929e-09	56.82095	-0.045444846	-17.227432	0.7421544	0.0146856	0.22725	79.0	307.19720125198364
37	-26.656645	12.739836	13.363376	-63.52411	12.636076	-25.507792	3.925517	-8.305679	-33.124573	152000	5.9604646e-09	43.219757	-0.019555524	-17.626013	0.73528326	0.015164148	0.14425	13.0	315.16830253601074
38	-27.344057	14.870914	46.718067	-78.82378	12.8585205	-24.998848	5.0383034	-9.126261	-34.02023	156000	-1.3351441e-08	56.02455	-0.03312693	-24.21881	0.7344642	0.015121813	0.193	38.0	323.3133239746094
39	-27.180866	13.62181	20.958183	-89.90687	12.572327	-25.826694	5.4353056	-3.0530362	-35.696365	160000	1.0490417e-08	37.814846	-0.04446218	-15.799858	0.7279099	0.0150588835	0.2295	73.0	331.72992873191833
40	-27.866165	13.341379	22.128803	-78.022606	12.653968	-25.176037	6.3428626	-2.678859	-37.129665	164000	-2.5451182e-08	31.617455	-0.047435235	-14.92354	0.72640955	0.012408626	0.217	79.0	340.19779443740845
41	-27.640747	12.786392	11.676886	-87.41406	12.544025	-25.07213	6.692087	-1.7287445	-38.1967	168000	-1.07288365e-08	23.23945	-0.04792377	-9.138299	0.73301864	0.01502735	0.2565	72.0	348.5510427951813
42	-26.890112	14.051301	47.937737	-74.82862	12.951299	-25.261887	6.6637177	-0.49353588	-38.96645	172000	7.629395e-09	24.708155	-0.0400049	-9.719066	0.7276331	0.015157265	0.21725	56.0	356.7879128456116
43	-28.242212	12.234201	16.745913	-68.61985	12.413043	-25.7897	7.0523434	2.4476464	-39.637615	176000	-1.1920929e-09	18.419334	-0.049052447	-7.749977	0.72846484	0.006123404	0.23975	79.0	365.1686415672302
44	-26.734003	13.019174	19.883816	-64.456665	12.611987	-25.497616	6.9080133	4.108579	-40.048965	180000	1.9550324e-08	17.307878	-0.044380374	-6.7145224	0.7158612	0.015068645	0.21	59.0	373.42478251457214
45	-27.423616	13.414435	29.39204	-75.49417	12.330247	-25.294636	7.1676817	3.1158051	-40.788357	184000	-7.390976e-09	18.893553	-0.030961646	-7.580637	0.71224433	0.015016872	0.20825	27.0	381.4739372730255
46	-28.255665	13.201751	25.6249	-78.205315	12.448598	-25.62808	7.4823513	4.7385488	-41.58492	188000	1.2278557e-08	18.610533	-0.02890009	-7.467164	0.71351737	0.0155434655	0.18575	23.0	389.52423763275146
47	-27.974901	14.475656	12.894693	-87.4342	12.778846	-24.956545	7.406414	2.3102038	-41.904156	192000	3.8146974e-09	24.022552	-0.024648784	-9.499114	0.7146911	0.015203127	0.155	18.0	397.5759906768799
48	-27.970625	11.872665	12.468649	-76.62692	12.356037	-25.517012	7.318337	3.0259497	-43.29498	196000	-2.7418137e-09	14.309876	-0.053510237	-6.5691633	0.71476126	0.014180826	0.26325	79.0	406.063903093338
49	-26.583632	12.515252	18.60902	-62.162155	12.445483	-25.161983	7.3345857	4.160078	-43.405502	200000	1.0967255e-08	13.786461	-0.045348108	-6.6468067	0.7054901	0.015112617	0.22225	51.0	414.32396245002747
