Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-27.840006	13.117372	9.773863	-72.151596	-22.716862	11.906547	-2.7813396	-36.766296	12.201835	12.3	3999	-8.431662	8.800398	14.950269	-32.339867	-8.432529	8.801891	14.839994	-32.907505	6.6638966	6.7178917	30.756812810897827
2	-29.094107	14.265059	10.437228	-102.40003	-23.88727	18.324633	7.17662	-47.874134	12.833333	15.3	7999	-17.908068	9.432802	20.27817	-52.125896	-17.908127	9.433374	24.000513	-52.195568	16.361032	3.3804488	69.83848404884338
3	-26.966396	11.904852	12.49619	-81.777824	-20.335052	20.268665	10.528951	-46.858273	13.353333	16.4	11999	-22.968582	8.711204	75.954666	-94.16139	-22.968855	8.712275	45.115784	-121.238396	21.484701	4.0581846	109.2432792186737
4	-27.955976	13.531546	11.239869	-74.73476	-22.137333	27.091913	49.951283	-50.531628	13.762069	15.2	15999	-25.030403	8.928095	33.231064	-63.063572	-25.030447	8.930806	33.15272	-63.67472	24.022705	3.903439	150.1132471561432
5	-22.715128	19.533802	113.11269	-62.757137	-14.80485	34.238068	76.520424	-39.496296	13.968641	113.4	19999	-25.335833	9.207693	44.29788	-63.07161	-25.335478	9.211137	42.117657	-61.535923	24.297867	3.4961467	192.6937608718872
6	17.637186	197.28534	1699.8566	-52.698452	201.1402	699.9346	2300.3022	-70.16336	35.714287	111.7	23999	-22.016054	14.802237	63.192764	-57.08052	-22.01595	14.804016	63.449036	-57.481388	20.772442	3.8975093	234.27015590667725
7	68.62415	219.07153	1073.6088	-56.481236	220.93161	413.96677	1332.9061	-77.37498	45.25	92.8	27999	-13.019175	27.868166	93.821045	-58.198368	-13.019204	27.86994	91.56047	-60.385677	11.352679	5.25059	276.42077350616455
8	133.34471	374.15683	2536.3313	-47.726357	531.3054	1103.201	3792.9324	-63.625824	66.22414	177.4	31999	-2.1384897	40.37448	123.196594	-59.27112	-2.1373622	40.37602	121.59643	-58.6803	-0.10983423	8.464334	320.0877823829651
9	192.47202	375.24237	1642.6405	-60.002693	547.7723	988.5188	3134.756	-52.655296	83.32653	208.0	35999	11.097225	53.46892	162.68645	-62.808205	11.0973835	53.468582	161.21678	-65.43624	-14.302681	14.286477	364.3247241973877
10	1513.4542	1789.258	4075.9587	-50.274414	1702.3455	1901.4253	5418.9663	-47.30455	413.66666	505.6	39999	26.266972	67.47135	197.78879	-67.36511	26.267523	67.47309	194.4329	-70.27978	-30.129578	19.695154	416.2998397350311
11	1572.1807	1728.9783	4111.295	-35.230186	1625.5487	1957.4028	4341.2036	-42.280388	439.375	425.0	43999	45.755234	82.06056	229.69238	-63.042072	45.755394	82.06339	227.28416	-65.20774	-49.89241	30.27198	462.38522005081177
12	2334.702	1785.274	4882.444	-26.26504	1891.7604	1785.478	4409.8994	-31.748518	649.0	467.8	47999	66.46829	95.75869	263.30136	-69.645546	66.46868	95.76206	260.08633	-71.183	-71.28451	43.882515	511.45993733406067
13	4290.9204	3137.1501	7525.671	-43.897194	5312.126	8183.6807	18917.564	-50.229496	669.3333	307.6	51999	88.82991	110.26182	303.99503	-71.25708	88.83057	110.2619	298.2759	-70.217	-93.70531	58.53005	557.7469816207886
14	4103.72	3839.1077	9228.315	-34.401875	10968.549	7427.6357	18658.225	-29.422056	567.8571	702.6	55999	116.86267	130.23607	380.78854	-76.47536	116.86291	130.23071	381.52325	-77.83004	-122.65163	86.646706	612.6996788978577
15	5713.302	5500.391	13777.834	-35.291122	9436.08	9474.119	19174.021	-69.55073	572.5714	506.0	59999	154.69318	159.28296	487.98328	-81.922165	154.69302	159.27022	488.78958	-78.09279	-161.85356	133.82805	662.0711712837219
16	13634.409	6945.5806	18416.266	-45.17857	13194.019	8675.338	19397.492	-34.49045	795.4	704.0	63999	202.6436	197.33066	616.64417	-74.52087	202.64392	197.31657	618.25287	-79.88216	-210.9515	214.57582	717.5689744949341
17	18525.986	919.1463	19339.01	17012.547	7563.047	9299.039	19203.47	-40.18908	996.75	405.9	67999	268.312	247.89653	740.6313	-87.42491	268.31116	247.89122	742.9446	-89.43169	-278.8852	379.05774	767.116265296936
18	12635.6875	8948.564	19225.736	-19.053988	11488.656	9404.744	19535.049	-38.561104	670.1667	603.6	71999	343.07507	298.52438	851.9131	-84.94562	343.0748	298.52225	856.42444	-95.145096	-355.33963	512.7589	820.8108644485474
19	10831.369	9413.466	19307.482	-49.861397	9542.037	9577.266	19317.785	-46.54622	573.2857	504.8	75999	424.6165	347.96207	960.3681	-99.14173	424.6159	347.95938	959.6416	-97.69087	-438.01074	637.8373	874.3381595611572
20	15119.403	7580.093	19200.207	-27.287176	11540.602	9448.3125	19457.39	-41.389103	795.6	604.2	79999	506.75012	393.10452	1059.2069	-108.836296	506.74927	393.10068	1057.1119	-115.36132	-522.4371	919.45844	929.5877435207367
21	9510.441	9540.647	19379.143	-31.790195	9528.465	9566.424	19403.1	-41.79193	503.875	504.4	83999	590.4418	433.09497	1137.1818	-120.72208	590.44275	433.09363	1140.1869	-117.42892	-606.0897	1092.5232	984.4328737258911
22	12509.571	8868.414	19190.559	-27.062782	17090.85	5702.95	19270.299	-11.237927	662.6667	901.7	87999	670.7199	465.26776	1228.9083	-122.174835	670.7173	465.26843	1231.262	-131.21829	-686.91315	1491.429	1048.034087896347
23	9440.951	9480.761	19293.465	-72.414925	7668.311	9434.037	19439.355	-45.587708	504.125	409.9	91999	745.89624	492.06207	1284.7704	-128.39288	745.8949	492.0657	1279.9843	-131.49216	-763.30927	1930.3424	1100.4639518260956
24	18504.482	461.46597	19153.13	17851.896	17138.004	5729.4146	19319.527	-46.267593	987.0	901.2	95999	814.73785	514.3427	1352.6044	-130.51787	814.7371	514.34576	1352.96	-135.60583	-833.0875	1695.3848	1161.5694987773895
25	12465.109	8847.176	19447.688	-33.59511	13325.17	8750.877	19316.883	-59.91889	669.8333	706.1	99999	878.47754	533.8132	1400.1003	-166.47871	878.47485	533.8162	1398.5454	-164.64508	-897.5859	2142.213	1218.8096435070038
26	12598.091	8929.138	19235.822	-33.12956	16998.611	5689.8223	19287.227	-40.530247	667.3333	900.8	103999	933.90765	549.8796	1462.4174	-181.25252	933.9043	549.87714	1458.2488	-174.50578	-953.1151	2430.4712	1281.562476158142
27	14850.56	7453.645	19226.37	-37.50043	15246.367	7634.3965	19305.225	-31.521002	799.0	802.1	107999	986.316	561.264	1491.4905	-194.9015	986.3131	561.267	1492.5411	-186.48286	-1003.65173	2945.596	1339.8505034446716
28	14889.006	7474.102	19247.84	-10.491446	11163.62	9166.221	19189.838	-37.332966	799.0	604.1	111999	1030.6932	570.7348	1523.1145	-196.07794	1030.6947	570.7295	1524.7338	-211.49506	-1051.8547	2945.546	1394.9100179672241
29	18667.41	347.31552	19030.676	18188.48	15202.05	7627.79	19384.65	-45.096645	996.75	802.2	115999	1077.0314	576.9259	1564.9739	-228.18585	1077.0308	576.92664	1563.8217	-218.05882	-1098.6876	3241.4536	1457.5620691776276
30	10702.431	9306.419	19200.482	-55.67028	15047.234	7573.0835	19475.842	-67.205696	576.2857	802.9	119999	1116.9579	583.33984	1595.778	-195.99442	1116.9594	583.3394	1592.5585	-207.63934	-1135.1407	3439.8384	1520.0829493999481
