Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	82.874374	12.978669	105.27146	59.353073	55.278614	3.8146973e-06	55.27861	55.27861	24.875	27.0	3999	-54.179657	38.423183	286.14172	-107.867676	-54.176285	38.42819	286.32922	-106.97851	3.4222982	3.3559523	20.133318	-13.29364	49.438354	4.3016596	36.06803584098816
2	-6133.625	15223.755	172.22238	-43423.742	55.064003	0.0	55.064003	55.064003	566.7143	31.0	7999	-133.21188	93.3021	770.7469	-251.47435	-133.21153	93.3006	769.52936	-244.65192	3.3878052	2.6730092	30.32911	-12.195225	129.83215	16.284998	82.60941815376282
3	-719.2647	5698.9097	236.91129	-40609.8	35.185844	0.0	35.185844	35.185844	101.04	34.0	11999	-186.2282	239.58226	1226.524	-362.0859	-186.22894	239.58171	1225.6912	-353.42905	6.2730246	3.3465743	25.539223	-11.390184	176.09793	71.1917	127.81760501861572
4	-380.73627	3451.9375	70.650116	-31814.188	-197.27232	0.0	-197.27232	-197.27232	79.416664	136.0	15999	-54.2004	545.6349	1851.4548	-453.7271	-54.19596	545.6477	1845.4922	-433.96228	7.821105	3.533781	34.301235	-11.121368	40.89938	1265.8029	174.30676817893982
5	-598.751	804.5024	190.87323	-3341.134	52.867077	3.8146973e-06	52.86708	52.86708	216.11765	44.0	19999	168.20164	660.9022	1965.551	-545.37286	168.20082	660.9061	1799.5001	-514.8154	10.647193	5.612872	151.76843	-10.627779	-194.72623	923.61554	220.07869601249695
6	49.84971	380.8557	261.91003	-4257.4883	-43.04554	3.8146973e-06	-43.045544	-43.045544	33.40458	147.0	23999	508.1623	746.4285	1924.7555	-784.835	508.17624	746.45056	1890.072	-822.941	10.881191	7.7232914	221.26904	-10.273275	-545.6123	5111.241	263.14462876319885
7	-364.9298	1205.4003	365.94604	-4794.8706	-1167.8684	0.0	-1167.8684	-1167.8684	207.17647	1875.0	27999	558.88385	725.9932	1884.2649	-435.77765	558.88153	725.98926	1879.5358	-463.54532	8.989011	3.6362898	75.627846	-10.105382	-584.118	1394.6595	338.07231640815735
8	1730.0032	606.75995	2701.5503	1095.495	1546.0498	0.0	1546.0498	1546.0498	882.0	4917.0	31999	638.67035	676.8495	1870.3667	-475.28732	638.67706	676.84863	1873.7734	-475.16095	10.4510765	4.657522	178.15163	-8.023244	-668.426	918.98364	463.2963845729828
9	497.98157	0.0	497.98157	497.98157	4758.6675	0.0	4758.6675	4758.6675	130.0	5901.0	35999	628.16187	642.8554	1792.3348	-500.02365	628.1635	642.8537	1795.0863	-434.53912	9.220205	4.4193277	223.35638	-9.958311	-649.9269	820.0345	612.833984375
10	-5107.9526	14820.955	1603.4606	-41404.473	-21795.94	0.0	-21795.94	-21795.94	1075.2858	8463.0	39999	535.26086	694.7697	1791.5577	-465.01535	535.25244	694.7769	1803.6431	-451.6626	7.7478313	3.5215774	118.850494	-10.365845	-553.5119	544.5964	805.8504791259766
