Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-27.137403	15.81087	64.9999	-67.5226	-21.607212	23.3628	22.382824	-53.571594	15.113636	20.5	3999	-6.162073	8.783614	40.648567	-33.482693	-6.160751	8.782884	42.252453	-32.13621	4.6698976	5.3523026	42.489054441452026
2	-28.466146	15.244655	34.98648	-92.06036	-26.014029	46.120686	74.467575	-123.34155	15.181818	31.8	7999	-13.110843	11.936619	86.05862	-36.633595	-13.111125	11.937304	87.08565	-38.032043	11.250631	3.3971334	93.138911485672
3	-24.661726	26.094934	238.32513	-61.490673	40.102432	115.466545	351.74756	-35.768696	16.805687	48.1	11999	-11.923226	17.03046	115.696106	-77.83976	-11.92289	17.030434	120.10668	-82.18044	7.8965435	6.228877	144.23492288589478
4	261.38373	609.6665	3451.5935	-75.439186	349.2835	446.22818	1449.7429	-43.897774	122.30556	171.9	15999	-1.2396864	32.527252	170.50877	-41.563286	-1.2406064	32.530754	175.06047	-42.568584	-1.9171093	6.6559463	198.58038783073425
5	904.9231	1322.6833	4368.62	-56.271355	2238.843	2876.7988	8386.086	-21.096931	256.06668	370.1	19999	20.097925	57.50131	195.34653	-63.300304	20.09715	57.50361	195.19148	-70.65987	-24.045027	16.483017	258.36778497695923
6	1107.0897	1344.9188	5621.872	-41.330704	2440.3308	3466.4792	11889.746	21.59502	178.69565	302.3	23999	50.33745	84.577866	292.4124	-56.645294	50.337875	84.580215	292.2555	-58.13151	-55.847298	26.350916	317.0912628173828
7	732.365	778.42706	3959.79	-87.31539	897.1418	819.61176	2996.9082	-32.828804	149.37038	144.8	27999	83.50773	112.95147	413.755	-60.641167	83.50896	112.95418	413.41193	-58.314583	-90.48294	45.497448	366.7862939834595
8	2204.5356	2838.12	11087.355	268.6385	3782.6792	2399.7102	8318.326	777.2587	270.33334	399.7	31999	122.77482	146.60425	546.29193	-97.505936	122.77653	146.6085	548.163	-73.99497	-131.20331	76.97259	419.1025218963623
9	4693.0903	4983.004	15770.568	-41.61721	1526.2161	1062.5972	4403.1685	641.12933	401.33334	157.1	35999	177.03992	189.36775	671.64923	-83.21235	177.03915	189.37164	672.66724	-76.64401	-187.95532	127.07424	465.11473512649536
10	10015.147	7949.2295	19310.268	-29.521082	13299.182	7192.373	19209.861	1607.6674	642.6	759.1	39999	245.96622	239.90721	779.0411	-98.03394	245.96825	239.91022	777.5842	-75.49954	-259.02063	180.49075	526.8833553791046
11	17642.705	2102.7173	18980.076	14008.998	19196.021	151.56807	19410.244	18937.799	949.25	1000.0	43999	336.16107	291.88666	878.31177	-92.42835	336.1627	291.88562	874.7975	-81.40138	-350.1673	346.02493	599.8341443538666
12	19254.3	208.19131	19443.383	18909.684	18859.623	182.69394	19129.066	18544.502	1000.0	1000.0	47999	434.2598	340.12015	971.27203	-83.91669	434.26315	340.1194	961.2084	-91.04766	-450.1226	544.5395	653.6814260482788
