Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
19	184.38483	54.840168	401.9389	99.72091	40.22222	5.957995	45.21251	90.85825	-53.894367	80000	-7.629395e-09	1104.4132	-0.0049988744	-140.84442	0.8703764	0.016035184	0.1725	10.0	155.7473864555359
20	169.27467	43.00821	288.90347	74.1688	38.317307	4.4461102	45.999626	95.62592	-59.937584	84000	1.5974045e-08	683.65607	-0.014493531	-104.34857	0.86899334	0.01336409	0.164	79.0	163.77329754829407
21	185.46542	63.499115	433.22787	52.551136	45.170456	6.231575	45.63337	98.759605	-52.825348	88000	1.2278557e-08	1568.6595	-0.01554306	-521.9761	0.8531945	0.013461487	0.16525	79.0	171.83653354644775
22	201.13686	64.70028	380.4815	71.90846	48.780487	4.8909173	47.754406	102.94213	-68.24618	92000	-1.859665e-08	1230.0167	-0.009840026	-230.7818	0.8382519	0.015256546	0.15	22.0	179.533264875412
23	196.229	60.27288	380.0421	104.60381	47.855423	6.6083846	50.7229	107.55942	-50.746643	96000	-3.5762786e-09	944.3764	-0.016144719	-125.05322	0.8340065	0.011374711	0.17775	79.0	187.6855058670044
24	211.01839	53.580395	361.11407	123.93399	51.28205	6.8454103	51.581707	111.62422	-81.47246	100000	1.8119811e-08	989.3516	-0.011934593	-164.12958	0.8123414	0.015052712	0.14925	29.0	195.47524738311768
25	242.14424	81.091866	554.9062	113.66789	60.6	11.676074	51.539715	115.59055	-56.16528	104000	-4.1007997e-08	1715.9707	-0.0054065557	-268.07263	0.80358773	0.015591957	0.15675	7.0	203.02055191993713
26	224.12416	64.04821	481.79346	97.79971	59.636364	15.2322645	56.612446	121.273636	-60.279778	108000	1.4305114e-08	1196.2242	-0.004521006	-227.2663	0.80176854	0.015976751	0.25325	5.0	210.57151532173157
27	229.89023	79.43773	479.93033	65.23816	64.36066	9.546456	56.20667	125.05861	-54.783745	112000	1.5497208e-09	1281.0206	-0.005585173	-211.42615	0.80053324	0.015730193	0.181	6.0	218.09696984291077
28	231.5338	73.474495	410.38232	82.03385	67.305084	12.327346	57.30066	129.04384	-71.200874	116000	-4.1723253e-10	1496.342	-0.007190134	-401.07617	0.79891413	0.015071224	0.194	5.0	225.66888236999512
29	234.87912	74.73143	431.94226	92.92759	70.21429	8.95068	59.955864	132.91444	-85.8813	120000	-1.0490417e-08	1189.0725	-0.0061595426	-272.90094	0.7973866	0.018355029	0.1845	5.0	233.2595636844635
30	264.21033	77.75509	461.06052	111.67221	68.01724	15.398371	63.328053	136.52444	-67.764084	124000	4.529953e-09	1536.157	-0.0050414447	-242.44385	0.7957456	0.016159879	0.15625	6.0	240.81074714660645
31	256.7623	95.258934	556.63654	105.35558	72.05454	15.476707	62.789207	141.23582	-65.51495	128000	9.6559525e-09	1550.8665	-0.0055800085	-288.3761	0.7937727	0.017233983	0.2175	5.0	248.46837377548218
32	292.9499	106.42984	540.7458	48.08519	90.906975	12.7732725	65.25963	145.71559	-73.578094	132000	4.172325e-09	2400.8184	-0.016616572	-676.437	0.79236704	0.0132336	0.1645	79.0	256.4028787612915
33	309.05185	124.88138	750.9861	86.99951	96.12195	18.732035	67.85576	151.30095	-80.65603	136000	2.3841857e-09	2454.0986	-0.004436928	-560.7942	0.7731887	0.017021429	0.22975	5.0	264.0008478164673
34	297.1746	134.65524	673.26154	100.51197	92.72093	19.713102	76.18361	157.61882	-81.77299	140000	1.6629697e-08	2563.248	-0.005216171	-478.45874	0.77255183	0.019968688	0.22875	4.0	271.58808636665344
35	326.6762	109.14992	662.0318	87.3426	98.975	24.80974	74.99056	162.33885	-85.326836	144000	-2.3841857e-09	2105.5217	-0.0033701903	-455.8036	0.7717133	0.01611492	0.19375	4.0	279.10392665863037
36	328.4938	94.99977	512.8874	139.09584	98.125	25.57887	76.441345	167.03743	-91.92527	148000	-1.2218952e-08	2012.0308	-0.010631881	-383.1698	0.77071047	0.015188606	0.17575	17.0	286.6624331474304
37	292.7607	86.76154	531.68097	138.53587	99.95	16.082466	76.30611	171.87164	-82.10504	152000	-1.001358e-08	1174.8823	-0.004124378	-307.37817	0.76926696	0.01551489	0.16625	5.0	294.30306363105774
38	354.2431	109.40138	672.44727	177.43169	110.27778	22.718813	77.15955	174.7001	-71.41372	156000	1.0490417e-08	2244.3584	-0.004978424	-421.69812	0.7691847	0.017355412	0.22025	6.0	301.89740777015686
39	364.69577	139.73221	723.53424	106.110664	108.72222	36.348095	85.42015	181.13013	-97.331665	160000	2.1457671e-09	3177.1748	-0.016651796	-824.94653	0.7685314	0.013651302	0.15525	79.0	309.8394401073456
40	392.5936	174.57771	1043.0868	192.9999	112.14286	37.241405	84.75722	186.98923	-114.27123	164000	2.8133393e-08	4127.3047	-0.0041584065	-1108.0457	0.75218296	0.018677987	0.21925	5.0	317.3476212024689
41	394.67334	114.062744	605.58496	135.37581	119.63636	52.955563	91.602196	193.98973	-87.674034	168000	5.722046e-09	2718.2356	-0.0043036104	-752.19885	0.75182545	0.017900763	0.20275	5.0	324.83550691604614
42	419.83795	143.42659	716.00714	193.47844	126.29032	44.16932	81.6352	198.32779	-95.74617	172000	2.503395e-08	2984.5027	-0.0036743043	-958.2875	0.7514255	0.017319959	0.18225	4.0	332.3065733909607
43	397.71722	113.884254	714.8198	178.76617	116.82353	49.473526	89.47483	203.35477	-75.46348	176000	1.2874604e-08	1982.2767	-0.019213522	-472.66785	0.75088954	0.0138961645	0.15425	79.0	340.3211648464203
44	453.64682	131.56027	745.5029	242.6038	126.870964	51.717445	91.09934	207.2175	-97.041824	180000	-1.6689301e-09	3316.9106	-0.008402624	-1212.1279	0.7357302	0.015089063	0.16525	16.0	348.0764811038971
45	523.1548	153.76987	941.40546	322.1781	135.10345	59.489048	95.693405	213.88507	-91.480606	184000	-1.66893e-08	4811.548	-0.004461017	-1242.1912	0.7347313	0.015755175	0.1485	6.0	355.54690742492676
46	538.0038	219.68898	1261.0947	214.8729	163.29167	70.42384	98.50817	222.77246	-133.06844	188000	5.9604643e-10	4882.622	-0.017575338	-1095.133	0.734305	0.011351005	0.17275	79.0	363.44877552986145
47	620.21857	152.74657	1021.7925	377.2191	180.80952	83.18927	103.72668	229.18164	-83.85844	192000	1.7881394e-08	3446.9453	-0.016247112	-581.4341	0.73189086	0.015022436	0.152	63.0	371.4332194328308
48	582.8902	259.25885	1216.7358	139.2865	179.68182	72.79276	108.79292	235.47585	-137.37003	196000	1.001358e-08	5553.4854	-0.0049309195	-1073.7725	0.73536617	0.015620897	0.163	5.0	379.09910440444946
49	513.2901	173.41415	800.8982	127.89732	172.39131	67.5913	117.82954	242.93925	-115.10167	200000	7.2717667e-09	3942.3818	-0.01809324	-1251.7114	0.73527044	0.014690365	0.1715	79.0	387.02223801612854
