Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-26.150051	15.833211	61.580208	-72.61039	14.962546	-24.818836	6.530793	-3.8931181	-34.49421	112000	-1.3828277e-08	25.603237	-0.01925967	-5.8239517	0.7816521	0.01595927	0.1645	15.0	231.11985301971436
28	-25.28926	13.924228	25.387402	-61.681293	14.691176	-24.554169	6.8549633	-2.792964	-35.107143	116000	9.179115e-09	16.107521	-0.04365359	-4.12239	0.7779915	0.011980614	0.23075	79.0	239.42393374443054
29	-25.216528	15.802099	12.110281	-73.44383	15.060377	-24.155472	7.184669	-2.691311	-35.315712	120000	-1.1265278e-08	19.10548	-0.0072623715	-5.5268087	0.7657127	0.015105276	0.2245	5.0	247.28525185585022
30	-26.26613	15.021302	28.45732	-63.0498	14.962546	-24.566439	7.571321	-0.5944507	-35.992287	124000	1.4781952e-08	18.18641	-0.04406199	-5.5049543	0.7649113	0.013552635	0.24075	79.0	255.55226922035217
31	-26.144958	13.630745	23.285524	-61.66605	14.825279	-24.231476	7.4379077	-0.34625864	-36.517536	128000	-3.3378602e-09	16.151503	-0.025058309	-5.241208	0.7539661	0.01579367	0.162	17.0	263.500474691391
32	-25.686947	14.246363	24.288296	-62.50986	14.572992	-24.493795	7.2795506	0.52507013	-36.745197	132000	-6.6757204e-09	14.5197315	-0.029759062	-3.9220514	0.7543073	0.015208229	0.20675	23.0	271.4954991340637
33	-24.996927	17.008936	38.22945	-77.729065	15.003759	-23.828438	8.403918	0.45490444	-37.260445	136000	-1.5974045e-08	20.990774	-0.036666844	-5.0762405	0.7499062	0.015183025	0.22425	54.0	279.6845471858978
34	-24.311659	16.10841	25.784973	-56.653275	15.086792	-23.731747	8.077625	1.9960281	-37.651535	140000	9.536744e-10	14.614976	-0.04060858	-4.302622	0.7514606	0.015017514	0.19975	61.0	287.9362347126007
35	-25.94014	15.330523	18.706453	-67.97134	14.981274	-24.201273	8.597056	3.161747	-38.102547	144000	4.7683715e-09	16.052254	-0.04264297	-4.6346397	0.74188584	0.012996761	0.2265	79.0	296.2831943035126
36	-23.638794	17.115667	22.652163	-73.00894	15.32567	-23.485477	8.510644	2.6270838	-38.97819	148000	-2.002716e-08	19.22638	-0.02297027	-6.1961126	0.72923887	0.01542868	0.15075	16.0	304.2759668827057
