Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	137.78743	30.689346	235.35066	94.84774	62.03772	0.0	62.03772	62.03772	20.126263	16.0	3999	72.911026	96.07468	480.68134	-51.21482	-93.762886	24.801907	20.069764852523804
2	133.73567	28.098444	235.04169	91.78897	62.03772	0.0	62.03772	62.03772	20.222221	16.0	7999	229.2509	254.70181	1611.4359	-138.84879	-283.1393	215.27695	47.415560722351074
3	90.16742	43.173683	242.24277	55.285904	55.89454	3.8146973e-06	55.894535	55.894535	17.395653	15.0	11999	2796.6814	1885.7772	11096.504	-2862.6792	-3161.1404	20216.082	74.88641929626465
4	55.835945	0.44901612	62.00927	55.006092	55.89454	3.8146973e-06	55.894535	55.894535	14.985019	15.0	15999	1123.8959	1709.0693	6992.952	-2406.3774	-1050.55	13585.245	103.40785765647888
5	55.825596	0.38294882	60.875015	55.209793	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	19999	90.05533	504.02817	2905.9695	-2292.6348	-80.88144	2484.559	132.2488398551941
6	55.79618	0.3920816	61.051735	55.212963	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	23999	101.90663	316.84467	2762.5415	-821.9114	-93.82981	910.06573	159.80579376220703
7	55.818916	0.39541072	61.07237	54.97706	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	27999	55.54524	194.77228	2000.3466	-938.5525	-48.99153	441.703	188.014253616333
8	55.802383	0.3839293	61.02829	55.130043	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	31999	31.087666	137.70587	1313.1254	-977.58484	-25.833675	260.65292	216.73104429244995
9	55.804157	0.38967878	61.091022	55.27868	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	35999	23.350578	125.26995	1234.1095	-708.2964	-19.433962	196.5566	245.42621088027954
10	55.84611	0.39909732	61.010975	55.04996	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	39999	24.900173	126.552025	1031.9535	-582.6593	-21.46234	150.87921	272.36257314682007
11	55.826256	0.3970606	61.151375	55.167557	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	43999	16.48321	110.73862	817.6406	-677.8109	-12.845515	123.479454	299.26620864868164
12	55.81906	0.41327548	61.230347	55.13379	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	47999	11.00699	94.07459	688.10455	-439.20395	-8.163134	89.143776	328.28012561798096
13	55.821915	0.39006472	61.030384	55.088715	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	51999	8.953238	86.063225	670.6605	-344.93292	-6.3410335	71.102234	358.6158187389374
14	55.80616	0.39421436	61.053947	55.182285	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	55999	5.9027267	78.29955	631.75323	-394.2689	-3.4743452	61.07207	389.6108570098877
15	55.863678	0.39824545	60.97951	55.18409	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	59999	3.1746993	72.09804	610.5689	-439.89462	-0.8911325	55.764553	420.89424419403076
16	55.8267	0.39019576	60.989178	55.183098	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	63999	1.3086557	66.94298	600.705	-470.10397	0.6694833	55.852314	452.64757537841797
17	55.83448	0.40596157	61.07525	55.183743	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	67999	1.194495	63.608566	528.2142	-389.37173	0.71866184	44.271843	486.4302909374237
18	55.82332	0.39260247	61.004353	55.12898	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	71999	-0.17647265	58.060356	466.27844	-423.5928	1.9727888	37.37726	522.7103168964386
19	55.805523	0.39642406	60.927414	55.12217	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	75999	-0.9168918	54.098957	456.93832	-382.4852	2.5017142	33.551968	559.1765856742859
20	55.81102	0.40439516	61.051205	55.00545	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	79999	-2.1522367	49.55594	438.64383	-383.0888	3.725333	31.010246	599.1592183113098
21	55.796192	0.38251483	60.99929	55.233875	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	83999	-2.5114217	47.77202	417.913	-340.56085	3.9465063	27.308136	637.3166053295135
22	55.808357	0.38618344	61.064995	55.154957	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	87999	-3.5868194	44.68614	383.20157	-317.08853	5.010565	23.217274	677.7670702934265
23	55.82763	0.3900096	61.08915	55.087925	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	91999	-4.140809	42.369156	360.4632	-286.84286	5.4625516	22.124792	720.902702331543
24	55.82771	0.3849161	61.085083	55.250225	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	95999	-4.235847	41.963722	374.0879	-242.61809	5.48968	22.028608	765.0165798664093
25	55.828613	0.38354376	60.9218	55.07655	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	99999	-4.8407626	40.169346	366.02777	-383.26337	6.0284534	17.804583	811.3181130886078
26	55.82307	0.4043665	61.086884	55.00997	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	103999	-5.2385373	39.046764	348.9989	-368.52353	6.3355565	20.437191	857.156090259552
27	55.829437	0.3956632	61.085575	55.188564	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	107999	-5.59791	37.464504	351.77954	-361.48813	6.6654696	15.439324	903.1906886100769
28	55.810856	0.40609515	61.01947	54.99525	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	111999	-5.56593	36.97389	309.4341	-401.26547	6.5101614	15.663959	948.9965026378632
29	55.85141	0.40534088	60.91273	55.156986	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	115999	-5.901445	36.458836	333.64362	-396.882	6.7959785	13.948803	995.6990201473236
30	55.834583	0.39337948	60.992832	55.28004	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	119999	-5.530079	36.11685	327.18924	-376.77643	6.41974	13.48482	1042.7030475139618
31	55.815285	0.3980438	61.003498	54.93404	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	123999	-5.766411	34.82989	300.65775	-433.57892	6.6440315	12.001804	1088.92800283432
32	55.8112	0.39607328	61.04761	55.12825	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	127999	-6.67282	33.558846	291.64273	-410.20847	7.4692273	11.408867	1136.055438041687
33	55.833103	0.3799441	60.942844	55.152508	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	131999	-6.7650676	33.30803	320.57077	-422.60178	7.5420017	10.5456505	1183.4088897705078
34	55.821167	0.39713153	61.137833	54.91383	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	135999	-6.8695354	32.238712	304.20737	-375.07242	7.6216617	10.11942	1230.2572906017303
35	55.828014	0.39564046	61.022247	55.13637	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	139999	-6.6090627	31.295534	263.74417	-356.20016	7.307841	8.372367	1277.2878892421722
36	55.802734	0.40330812	60.975983	55.19689	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	143999	-6.7726383	30.10798	266.7863	-313.2117	7.442706	8.175353	1323.5929763317108
37	55.800533	0.3923813	61.12267	55.306984	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	147999	-7.0003204	29.77635	268.15747	-295.60504	7.636053	7.2962685	1369.9338603019714
38	55.822777	0.3924255	61.055016	55.292297	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	151999	-6.519883	29.284178	224.73654	-192.40717	7.116066	6.6278906	1416.709877729416
39	55.8009	0.3967566	61.00887	55.14865	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	155999	-6.2766232	29.708036	232.23097	-114.78727	6.820591	6.197491	1462.6154026985168
40	55.82052	0.41074434	61.02356	55.20315	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	159999	-6.2808523	29.763313	216.863	-103.38889	6.8624954	5.8482366	1510.2256071567535
41	55.812943	0.39041027	60.96663	55.28863	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	163999	-6.6383243	29.13172	264.07373	-133.86937	7.205495	5.17346	1557.1154129505157
42	55.82717	0.383841	61.024754	55.19417	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	167999	-6.540974	29.010742	233.53143	-139.77597	7.0421076	4.9231706	1603.3211319446564
43	55.82679	0.38754642	60.957554	55.195	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	171999	-6.52561	28.633106	222.92604	-143.64432	7.039305	4.5315275	1650.1297731399536
44	55.825096	0.39609274	61.01402	55.124287	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	175999	-6.8305936	28.024572	205.22134	-115.17317	7.324284	4.2640576	1694.3587305545807
45	55.830357	0.39429116	61.091454	55.190666	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	179999	-7.0973425	27.590805	188.62308	-145.27289	7.59448	3.896344	1742.4741125106812
46	55.80496	0.39390016	61.123386	55.086487	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	183999	-6.7597613	27.97646	187.7965	-143.04268	7.209706	3.6654398	1790.0251817703247
47	55.834023	0.3843948	60.964813	55.205128	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	187999	-7.2089396	27.16064	178.51884	-200.46211	7.651258	3.8157272	1837.0978038311005
48	55.815727	0.38795018	61.009396	55.24412	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	191999	-6.9035807	27.558743	164.36053	-142.63403	7.298244	3.2707784	1881.178730249405
49	55.82222	0.3972299	61.05594	55.120483	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	195999	-6.8224835	27.655428	156.2171	-132.92944	7.2169175	2.8965883	1926.7432744503021
50	55.822815	0.40239424	61.064873	55.20596	55.89454	3.8146973e-06	55.894535	55.894535	14.981274	15.0	199999	-6.9005923	27.282087	148.08586	-140.43843	7.272381	2.5735707	1970.9711260795593
