Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	19159.174	728.7878	19824.098	18017.424	19804.506	0.001953125	19804.508	19804.508	1000.0	1000.0	87999	1482.2827	509.6516	1832.512	-137.59663	1482.2803	509.66	1835.8259	-199.1397	6.60254	3.4482453	72.02518	-9.493694	-1496.3365	4433.4014	1585.51797914505
23	19596.32	219.33711	19822.68	19376.648	19899.719	0.0	19899.719	19899.719	1000.0	1000.0	91999	1501.6674	506.19025	1839.3373	-122.94917	1501.6665	506.1957	1845.6487	-169.5228	6.438235	3.4609601	45.052185	-10.810948	-1515.1245	4307.124	1668.3231408596039
24	19795.44	32.761627	19826.078	19741.219	19740.3	0.001953125	19740.303	19740.303	1000.0	1000.0	95999	1524.4094	503.08224	1852.8009	-133.32605	1524.4066	503.0931	1851.4292	-145.02792	6.375195	3.5011957	57.75238	-9.167148	-1537.6992	4288.022	1752.3105177879333
25	19773.562	13.404337	19788.236	19753.385	19782.248	0.0	19782.248	19782.248	1000.0	1000.0	99999	1547.908	496.73764	1862.3425	-127.236664	1547.9077	496.74115	1858.0813	-101.938126	6.327443	3.465125	37.22256	-11.33993	-1560.8488	4835.432	1835.3861215114594
26	18899.547	1122.7339	19760.219	16987.441	19797.332	0.001953125	19797.334	19797.334	1000.0	1000.0	103999	1566.2064	484.9833	1860.5605	-132.66104	1566.205	484.98306	1864.2404	-151.63829	6.431124	3.3963356	40.63333	-11.142436	-1579.1873	5149.037	1919.3875601291656
27	19682.127	151.7188	19785.408	19421.08	19784.64	0.0	19784.64	19784.64	1000.0	1000.0	107999	1580.9839	476.4163	1869.3239	-372.8436	1580.9844	476.41745	1866.0497	-532.632	6.066162	3.3031542	40.38937	-10.13088	-1592.734	4972.0083	2005.1581163406372
28	19535.656	261.6746	19802.11	19210.338	19764.033	0.0	19764.033	19764.033	1000.0	1000.0	111999	1591.5314	466.50916	1862.14	-216.31387	1591.5304	466.5156	1860.7678	-283.95697	5.9528127	3.305182	40.246143	-12.300043	-1603.1117	4741.954	2089.7001960277557
29	18596.475	398.66772	19110.28	18007.062	19823.566	0.0	19823.566	19823.566	1000.0	1000.0	115999	1603.0493	462.0951	1867.1675	-114.21922	1603.0485	462.09836	1863.2279	-117.42988	6.038938	3.3357868	40.321903	-10.516163	-1613.9683	4849.164	2171.198558330536
30	19592.605	185.61285	19817.645	19301.338	19865.963	0.001953125	19865.96	19865.96	1000.0	1000.0	119999	1605.9994	456.67093	1874.6184	-111.20338	1605.9995	456.66818	1871.6895	-116.600624	6.09835	3.3029144	39.334408	-10.327036	-1616.6466	5800.457	2253.409373998642
31	19703.258	137.02045	19848.496	19486.705	19804.451	0.0	19804.451	19804.451	1000.0	1000.0	123999	1613.6703	454.18158	1865.763	-175.30537	1613.6704	454.1812	1868.0704	-129.33257	5.9800477	3.1506908	43.945286	-9.268662	-1624.1157	4691.0796	2336.37038397789
32	19824.637	12.959431	19843.908	19811.406	19747.809	0.0	19747.809	19747.809	1000.0	1000.0	127999	1623.3259	448.89178	1887.947	-144.85645	1623.3289	448.88907	1883.7356	-108.94679	6.0967255	3.173146	45.85366	-10.511452	-1633.4845	5329.181	2418.7241327762604
