Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	18748.65	385.82776	19227.74	18281.21	19173.771	144.17192	19394.656	18914.09	1000.0	1000.0	103999	1277.3064	448.50412	1610.5624	-285.6942	1277.308	448.51044	1607.9501	-271.9816	-1297.9855	4093.6345	1461.1448645591736
27	18757.746	305.05722	19086.738	18291.623	19018.434	186.30585	19323.27	18710.535	1000.0	1000.0	107999	1307.6469	449.79385	1634.253	-221.97888	1307.6473	449.8043	1628.0989	-236.95502	-1327.8397	3683.936	1532.513580083847
28	18813.438	463.3019	19418.08	18143.22	19205.305	168.66098	19447.793	18845.027	1000.0	1000.0	111999	1336.1024	446.42743	1650.9258	-276.75528	1336.1014	446.43948	1649.5746	-209.0828	-1357.1713	4633.7227	1592.8314871788025
29	18698.45	714.4994	19560.96	17584.75	19237.488	198.74275	19650.846	19006.516	1000.0	1000.0	115999	1364.9136	431.2155	1669.6549	-229.63892	1364.9152	431.22363	1673.3461	-250.9928	-1385.932	4337.0767	1652.6751203536987
30	18905.654	266.1779	19203.885	18485.818	11402.412	9338.675	19268.773	-54.652287	1000.0	606.4	119999	1398.0896	381.03632	1680.8138	-268.48907	1398.0807	381.0519	1675.5712	-324.47604	-1421.8816	4913.957	1704.8503606319427
31	157.5049	1833.3397	18669.396	-60.828396	-27.294317	10.617965	-11.452956	-43.12849	24.70297	16.0	123999	1634.5026	411.0737	8282.914	-2093.9055	1634.5032	411.0353	5509.9795	-1886.067	-1714.3429	11399.493	1746.381563425064
32	-30.362917	13.624816	6.9378614	-71.75196	-36.836735	12.010553	-25.823698	-68.69724	14.624087	13.5	127999	974.39465	549.36505	2972.4377	-1682.671	974.36334	549.4858	2928.5527	-1644.7858	-841.905	6568.373	1788.9987833499908
33	-25.086592	15.607215	22.331085	-94.14307	-28.175543	30.254648	22.690107	-93.310234	15.550781	20.2	131999	122.35898	194.65297	1134.5586	-1536.8273	122.38465	194.67857	1080.7633	-1645.858	-99.29329	2543.4375	1832.1308233737946
34	-29.28539	22.994371	51.547985	-101.96721	-24.571505	19.391737	8.949209	-51.33163	20.47449	23.9	135999	294.56525	211.97447	669.5964	-861.48535	294.5522	212.00114	645.6106	-793.30493	-319.40887	1139.0919	1876.7558221817017
35	259.08304	1200.0763	6372.2476	-370.92493	1294.7578	1095.278	3237.0508	-29.735687	117.48485	217.3	139999	443.75827	272.1168	743.1817	-461.63452	443.7546	272.12695	742.5871	-376.6666	-455.97168	1012.5761	1926.041427373886
36	3101.0781	4988.214	15117.903	155.16168	15040.278	7319.5386	18929.156	-37.927578	300.36365	816.4	143999	521.65753	311.16553	854.17096	-269.26974	521.65466	311.19058	852.86005	-260.8163	-533.9642	1068.8392	1986.603354215622
37	14035.572	7218.546	19163.832	429.1457	18909.383	256.67303	19229.469	18321.16	786.2	1000.0	147999	602.9487	342.52896	942.89746	-238.09065	602.9464	342.55472	939.051	-234.39816	-616.81573	1258.337	2050.74600148201
38	18176.148	882.6401	19148.967	17052.69	19253.219	140.6724	19551.463	19032.941	974.25	1000.0	151999	687.94635	364.81122	1028.4911	-258.12875	687.9411	364.84583	1027.4926	-229.92151	-703.7706	1481.0071	2115.1292357444763
39	19063.555	289.85873	19319.209	18611.88	19085.785	122.25675	19201.652	18780.51	1000.0	1000.0	155999	764.992	385.97052	1111.2455	-245.22981	764.9892	386.0063	1114.1006	-215.98323	-781.05634	1745.7588	2179.050013780594
40	19066.584	257.80923	19274.14	18631.44	18964.053	220.82425	19360.787	18467.63	1000.0	1000.0	159999	836.8188	404.55795	1180.0651	-225.61546	836.8104	404.58472	1188.8424	-228.44234	-852.73834	1931.3408	2242.7386224269867
41	19039.016	356.308	19516.66	18674.18	19021.998	203.44127	19291.5	18597.36	1000.0	1000.0	163999	902.4101	424.43576	1247.9486	-215.22725	902.40704	424.45035	1248.6472	-233.69171	-919.4061	2263.24	2306.5347006320953
42	19298.688	77.76808	19358.633	19166.027	19009.809	178.52245	19304.428	18740.635	1000.0	1000.0	167999	963.39685	439.33878	1306.3363	-213.69716	963.3941	439.3557	1308.4834	-246.29971	-979.92084	2609.187	2370.1815547943115
43	18927.195	268.5133	19291.293	18596.982	18904.691	280.97632	19269.1	18451.344	1000.0	1000.0	171999	1017.9585	454.017	1362.5472	-183.04521	1017.95215	454.03848	1359.5022	-194.56436	-1034.8771	2505.39	2434.7636733055115
44	19026.81	297.49588	19449.564	18701.615	18423.44	592.741	18938.186	17275.51	1000.0	1000.0	175999	1068.2172	464.37186	1404.995	-194.08514	1068.2151	464.38232	1407.0634	-184.34995	-1085.4331	2927.202	2498.7750074863434
45	18964.992	205.92363	19255.658	18688.844	19160.145	157.1453	19444.857	18872.639	1000.0	1000.0	179999	1111.6235	474.42703	1460.4354	-193.5001	1111.6191	474.43765	1456.8683	-215.56136	-1130.7635	3083.8452	2563.9841384887695
46	18888.016	311.96002	19101.465	18349.178	18898.795	206.94267	19211.85	18558.549	1000.0	1000.0	183999	1151.1412	479.5789	1496.0409	-189.07124	1151.1412	479.5922	1503.8519	-213.96967	-1171.3173	3687.407	2629.499048233032
47	14238.018	7171.591	19103.44	-35.890358	16484.71	447.82913	17499.518	15881.219	802.8	1000.0	187999	1180.5627	482.0477	1526.1989	-215.84174	1180.5619	482.05692	1526.3274	-228.39398	-1202.4868	3477.6355	2694.2777087688446
48	18331.469	445.72116	18967.4	17756.383	19145.066	212.24915	19367.41	18630.826	996.5	1000.0	191999	1206.496	480.6911	1559.1821	-182.6256	1206.4957	480.68842	1566.3649	-192.3762	-1228.5573	3718.077	2759.5280451774597
49	18486.738	537.68274	19144.107	17895.422	18073.37	1330.1211	19110.475	14908.166	1000.0	1000.0	195999	1232.3872	485.21634	1591.2458	-224.71523	1232.3845	485.23535	1585.546	-215.4517	-1253.0978	3720.7234	2824.617856502533
50	19150.543	44.11769	19200.36	19084.957	15571.466	2629.0764	18628.838	10080.544	1000.0	1000.0	199999	1256.6958	487.93112	1615.1085	-216.95644	1256.6929	487.93817	1618.5878	-191.99432	-1278.084	4168.684	2890.0675237178802
51	19122.352	133.08804	19235.014	18895.373	14474.133	2147.5212	18466.195	10488.534	1000.0	1000.0	203999	1284.9154	492.61633	1643.0258	-201.92757	1284.9119	492.63733	1642.48	-193.88719	-1305.4733	4357.756	2955.651805639267
52	19032.918	171.79808	19263.45	18793.4	18507.89	673.09143	19181.133	17220.336	1000.0	1000.0	207999	1313.034	499.61652	1667.2296	-230.36406	1313.0284	499.6305	1663.5552	-250.90419	-1332.0348	4456.181	3021.4467735290527
53	18656.0	421.6018	18999.965	17963.854	19040.91	210.43256	19376.29	18714.732	1000.0	1000.0	211999	1338.5858	505.06128	1688.5045	-193.77058	1338.581	505.08154	1696.5492	-195.17513	-1358.1847	4902.438	3094.93470954895
54	18762.379	200.24707	19025.473	18476.025	19132.652	208.28062	19395.916	18621.473	1000.0	1000.0	215999	1364.018	511.26218	1714.366	-187.69913	1364.011	511.2812	1715.1533	-207.22836	-1381.1542	4254.5513	3162.826305627823
55	18939.39	200.56908	19188.502	18628.408	19144.195	152.55402	19364.951	18879.967	1000.0	1000.0	219999	1385.1199	514.4512	1729.8904	-257.21228	1385.1162	514.466	1725.1915	-190.67993	-1404.6218	4958.519	3230.293745994568
56	17305.6	428.85562	17871.531	16672.314	19346.803	174.87535	19589.809	19060.797	1000.0	1000.0	223999	1405.7156	515.4723	1744.7443	-222.04294	1405.7104	515.49786	1742.7845	-277.80304	-1424.4797	5291.18	3296.9156725406647
57	18992.254	290.26257	19468.324	18703.041	13138.885	4252.0747	17524.12	7449.9116	1000.0	1000.0	227999	1426.2451	512.1839	1749.5077	-209.65843	1426.2482	512.1898	1747.2476	-238.13786	-1444.068	4799.1953	3364.7731137275696
58	18732.135	282.1191	19069.973	18370.674	18865.223	251.14157	19222.748	18428.969	1000.0	1000.0	231999	1440.4734	511.333	1759.9043	-337.5992	1440.4713	511.34555	1766.1078	-325.71487	-1459.5645	5085.5864	3432.223421573639
59	18323.764	253.6299	18674.889	17990.975	19138.424	248.64647	19541.697	18744.145	1000.0	1000.0	235999	1452.2838	508.57593	1762.791	-366.3012	1452.2777	508.58795	1759.9006	-367.8762	-1473.8933	4653.8604	3500.376181602478
60	18717.078	389.35294	19120.205	18275.348	19154.027	179.36424	19426.06	18908.023	1000.0	1000.0	239999	1460.4375	503.1358	1770.7284	-301.0619	1460.436	503.14862	1769.7808	-294.56708	-1480.8976	4945.004	3568.4785895347595
61	19180.312	45.877056	19242.764	19118.72	18783.104	339.85706	19239.287	18073.06	1000.0	1000.0	243999	1471.3717	498.6235	1775.5209	-459.30652	1471.3644	498.64124	1775.2065	-492.4893	-1490.7778	5046.622	3638.333608150482
62	19179.625	101.26173	19330.719	19046.596	19218.422	179.94983	19541.832	18924.773	1000.0	1000.0	247999	1483.5485	499.87216	1787.8754	-395.53952	1483.553	499.87933	1783.5623	-382.9267	-1503.2223	5341.773	3706.1218593120575
63	19044.664	244.51637	19370.572	18768.885	19216.8	173.30658	19456.139	18926.898	1000.0	1000.0	251999	1494.7833	502.6932	1795.8031	-302.44302	1494.7766	502.70612	1795.6421	-349.85947	-1513.3263	5388.079	3773.4489698410034
64	19059.83	344.09708	19538.836	18581.287	19214.65	154.89769	19485.447	18880.031	1000.0	1000.0	255999	1505.126	503.4796	1801.7098	-291.2042	1505.1251	503.48373	1802.6357	-308.5223	-1522.6569	5149.006	3840.510969400406
65	18889.117	276.0609	19241.172	18510.55	19090.516	256.29547	19407.164	18578.525	1000.0	1000.0	259999	1517.9058	501.72098	1821.2727	-412.1646	1517.9058	501.71417	1821.2179	-421.13544	-1535.514	4855.6484	3908.2666759490967
66	19201.92	124.329155	19305.027	18989.314	19226.006	144.86116	19445.24	19035.97	1000.0	1000.0	263999	1527.7811	501.27582	1826.6892	-540.764	1527.7764	501.292	1821.7433	-580.25665	-1546.299	5584.3525	3975.4873485565186
67	19180.756	203.57527	19532.203	19042.365	19384.543	131.75172	19536.516	19136.025	1000.0	1000.0	267999	1538.0189	497.7829	1832.0985	-470.79398	1538.0176	497.78757	1825.6182	-518.4078	-1556.2361	5334.3394	4043.97660112381
68	19117.52	241.1013	19409.816	18750.836	18669.707	236.74165	19073.654	18366.78	1000.0	1000.0	271999	1542.6652	497.9387	1831.0765	-595.6226	1542.6652	497.9587	1835.6709	-599.6969	-1562.1495	5088.438	4112.373304367065
69	19042.672	321.72925	19541.69	18668.967	19169.293	199.22488	19398.402	18719.38	1000.0	1000.0	275999	1550.3135	495.82297	1841.368	-640.8397	1550.311	495.8284	1837.4343	-576.8601	-1568.5555	5854.396	4180.5473618507385
70	18969.336	318.64664	19326.115	18528.734	19257.146	133.3847	19434.133	19030.805	1000.0	1000.0	279999	1558.1095	497.74643	1839.4203	-631.4627	1558.1066	497.76144	1835.7202	-637.4054	-1576.1042	5634.259	4248.62669801712
71	18508.205	504.6787	19312.797	17942.03	18821.629	442.6806	19388.217	17959.357	1000.0	1000.0	283999	1564.984	495.73703	1838.5826	-561.66656	1564.9823	495.74292	1842.1063	-599.74274	-1580.9392	5568.293	4316.5854370594025
72	19021.035	241.98038	19340.87	18738.186	19209.816	152.02142	19381.537	18937.701	1000.0	1000.0	287999	1573.1189	491.96265	1840.2059	-487.1026	1573.1163	491.96774	1841.9996	-459.98547	-1588.624	5569.3975	4385.573769807816
73	19064.414	420.72195	19443.543	18351.324	19240.395	257.32846	19653.36	18856.275	1000.0	1000.0	291999	1582.3328	488.02533	1846.2866	-473.78976	1582.3306	488.02753	1844.4797	-482.10498	-1599.2268	5692.557	4455.410987615585
