Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-26.702206	15.134904	33.66837	-69.91279	-26.440098	11.955013	-10.2781725	-49.16642	15.613281	15.3	3999	9.937809	25.960333	126.055786	-35.264965	-16.599579	3.0016634	22.108217000961304
2	-27.676743	15.470746	34.92156	-74.22383	-29.531544	9.645679	-11.812295	-40.66485	15.056603	15.6	7999	309.85147	313.1621	1846.2655	-295.95615	-400.44998	636.48346	48.44204545021057
3	-26.382181	20.221842	31.472849	-115.338875	-117.69397	132.0697	53.54616	-327.38995	18.009174	90.1	11999	1085.4648	832.1123	3206.3135	-699.0043	-1225.673	4810.613	76.68417501449585
4	-103.17495	207.37755	570.9394	-609.1071	-187.57863	378.02423	151.74118	-897.38995	133.93333	511.2	15999	997.724	1020.55286	3395.9136	-981.81976	-1125.4287	4814.605	113.37659978866577
5	108.86658	238.96413	869.48975	-138.5795	-158.53308	92.67777	19.758787	-296.86334	201.65	172.1	19999	1526.9991	1321.6461	4227.775	-756.08844	-1683.3352	6389.03	141.03333568572998
6	85.040924	137.0291	501.83954	-129.39973	-289.9995	411.12683	113.34492	-1182.1605	149.03703	280.8	23999	2082.0076	1565.5734	4582.3667	-416.07376	-2251.8154	8836.836	173.29009342193604
7	-121.97306	226.74773	253.01692	-770.9114	26.633816	118.12677	235.20024	-137.60564	203.0	207.5	27999	2519.4111	1719.909	5169.924	-2288.6768	-2681.341	12357.013	203.2552046775818
8	-120.27624	338.09235	390.11926	-705.5383	-430.7186	365.70367	-67.22575	-1268.562	543.5714	410.3	31999	2923.8074	1787.5958	5381.8643	-1111.3583	-3085.7722	13606.971	237.77103877067566
9	-76.51356	454.54358	694.4089	-811.8165	1611.783	218.78714	1815.7445	1091.5996	628.8333	1000.0	35999	3341.958	1872.7832	5916.3975	-754.75256	-3500.1965	16171.67	282.0670838356018
10	231.69022	485.5134	1559.4274	-179.69191	-0.39761582	79.67523	94.083984	-123.65772	260.5	132.5	39999	3717.8691	1931.3138	6709.708	-877.8983	-3874.8887	21387.646	312.63448190689087
