Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-27.48874	13.944505	34.251076	-73.927826	-27.09316	8.836218	-14.425349	-43.35467	12.935065	14.9	3999	-10.000383	9.612591	41.77838	-36.488964	-9.999407	9.614429	42.562576	-37.485428	-0.24194959	2.0065815	10.285525	-12.645486	8.947381	6.2644315	36.054975509643555
2	-27.85134	14.183861	33.373363	-77.94588	-31.488377	9.691781	-12.135902	-46.067276	13.058632	13.9	7999	-18.242487	9.8586035	48.237564	-48.442966	-18.243511	9.861756	47.33785	-48.466293	-0.019270206	2.1847208	19.107416	-12.543552	17.219069	3.5421166	80.75588512420654
3	-25.188347	26.26599	215.57315	-99.5197	-2.940355	32.441593	69.77757	-36.050358	16.69748	26.4	11999	-16.581526	15.083054	84.42323	-49.38828	-16.582176	15.085679	83.47189	-49.88142	0.5467993	2.8168757	19.233164	-12.2785	14.9064665	5.5618215	126.08556795120239
4	0.12523678	135.01834	1392.24	-78.78843	36.349472	161.66557	506.77704	-59.245304	26.687943	58.1	15999	-18.11174	22.878717	118.21507	-57.68857	-18.112162	22.882755	120.040474	-58.067112	-0.24925117	2.26953	14.0973835	-12.27213	17.581465	5.7527623	170.73828029632568
5	81.36663	321.59164	2201.807	-63.730946	264.66287	537.8843	1620.4873	-35.1943	48.113636	107.9	19999	-2.7475238	45.571	174.21587	-58.907707	-2.7479339	45.574085	174.14606	-59.082016	0.22974017	2.7365854	19.491398	-12.6677	2.0698023	7.438309	215.59838485717773
6	147.56639	378.515	1871.3489	-56.645515	364.65442	793.11865	2696.9119	-33.0044	65.08064	137.1	23999	16.047173	64.99289	222.42627	-58.869423	16.046827	64.99284	219.88316	-58.855038	0.75066257	3.159489	21.798761	-11.967779	-17.140781	15.890086	261.7478516101837
7	297.66263	1130.2158	6010.7925	-63.457066	988.9915	1506.4314	3957.0225	-53.630352	83.270836	263.6	27999	41.791096	87.585815	324.94202	-61.823498	41.791252	87.58579	325.36322	-60.26974	1.5026523	3.6367314	23.13752	-14.642281	-43.522816	30.437805	312.9626588821411
8	1282.0956	1969.4805	6164.0854	-43.087006	111.07829	414.73596	1354.7269	-47.03831	266.53333	41.4	31999	74.835846	113.03473	426.69205	-62.598583	74.83593	113.034294	423.95474	-63.787968	2.216219	3.9734902	28.355343	-10.874456	-77.13386	50.595314	357.9635102748871
9	1556.4691	2057.57	5317.1084	-51.83258	615.42633	1319.9414	3611.5535	-57.165134	375.7	208.6	35999	112.65436	138.33524	554.0476	-66.46176	112.65424	138.332	554.34705	-62.842876	2.8426085	4.1406407	25.625813	-11.020308	-115.61813	79.27996	407.2183198928833
10	3859.4683	4391.96	11280.408	-34.70718	4440.9326	5111.54	12688.559	-40.97498	495.875	505.5	39999	157.12897	166.32692	667.5747	-67.43645	157.12766	166.3263	665.8413	-63.51977	3.4955862	4.2373276	28.992542	-10.501547	-161.15294	121.5656	459.49617862701416
11	8448.561	3954.9712	12666.488	1953.6497	5993.4766	5807.4517	16670.781	-35.8189	820.75	604.9	43999	229.41354	211.52426	784.30493	-64.40884	229.41422	211.52731	784.2877	-73.87147	4.2369995	4.3747964	30.892586	-10.285934	-234.8826	206.94257	514.8047289848328
12	7952.7505	7161.6445	16389.621	-54.063248	3840.4558	5006.3286	14705.617	-39.936005	578.2857	462.2	47999	326.34894	267.85623	912.5898	-68.81361	326.34943	267.85654	913.52185	-69.674706	4.883144	4.388361	31.389013	-11.897765	-333.75388	385.65735	569.5988020896912
13	9486.233	7758.8516	17336.62	-62.6262	7760.159	5825.865	15630.781	-36.933193	663.1667	702.9	51999	438.93405	330.9597	1058.8741	-83.705956	438.9409	330.9529	1049.8756	-74.05404	5.3969917	4.407216	36.093826	-10.998171	-448.24368	655.96655	627.2803666591644
14	8644.769	7057.687	17931.127	-25.97086	2490.3906	3982.572	10704.675	-41.39357	666.0	307.3	55999	552.7954	385.3429	1180.0392	-95.736336	552.81177	385.3381	1179.026	-77.89366	5.6953807	4.3773723	31.750904	-9.576576	-563.1751	942.25934	678.6385493278503
15	9374.026	7700.6284	18885.205	-48.600815	9559.999	6622.02	17463.703	-44.062393	666.0	703.5	59999	651.44214	427.0099	1268.0759	-88.29346	651.4612	426.9927	1271.6958	-104.33879	5.9995813	4.341415	44.26175	-10.029997	-662.663	1428.2886	737.91952085495
16	12693.711	6597.9854	17675.955	-38.66459	1255.9281	3761.9502	12538.815	-44.56078	797.6	118.5	63999	746.4491	459.50305	1357.7848	-95.42034	746.47534	459.46783	1360.6371	-96.17297	6.4510365	4.2812705	39.625397	-9.289627	-758.604	1857.6505	786.3931481838226
17	12932.474	6660.3477	18577.072	-34.397926	10899.228	7380.7144	18552.203	-60.34664	800.2	703.9	67999	841.4115	484.89587	1436.481	-124.55809	841.4294	484.87387	1439.8811	-129.86609	6.799842	4.378876	48.330593	-10.462383	-854.63165	2139.341	844.3796751499176
18	8201.488	7254.5806	16835.58	-77.17352	7513.9375	6401.4067	15616.783	-190.16264	593.7143	591.4	71999	917.10266	501.7905	1510.3566	-134.22162	917.11975	501.76535	1511.6785	-142.14603	6.9510465	4.402441	62.65233	-10.936922	-930.74036	2455.108	900.6500492095947
19	10989.816	5750.095	16856.014	-34.143234	6690.712	7066.3877	17548.955	-375.2355	768.8	530.9	75999	981.2529	510.06033	1563.0239	-139.25761	981.2628	510.04312	1562.9827	-168.35458	7.0699763	4.3711305	70.97071	-9.585615	-995.3072	2740.4895	958.8141040802002
20	7387.6836	6005.102	13261.399	-44.57886	4088.3438	4598.858	11419.849	-33.527893	610.7143	512.4	79999	1030.4707	515.6798	1596.1366	-233.98477	1030.4813	515.65857	1598.5294	-200.48448	7.0972238	4.293848	57.69049	-9.421502	-1043.9852	2794.0366	1020.1342222690582
21	5478.035	7219.5835	17921.578	-97.23844	5757.8115	3105.246	8873.682	-56.558254	390.3	802.7	83999	1068.8553	518.91345	1645.9097	-171.89073	1068.8627	518.90656	1649.031	-183.75221	7.2193813	4.3121014	68.38385	-12.454357	-1082.3053	3101.1584	1086.0576457977295
22	11422.264	6144.322	17973.814	-25.596035	10247.439	7077.0317	18940.564	-34.33942	765.2	722.3	87999	1118.5656	526.85785	1708.0271	-174.40872	1118.5724	526.84924	1698.7449	-189.62784	7.396346	4.3700953	65.0449	-12.980785	-1132.2045	3338.2324	1152.557028055191
23	8693.03	7776.397	17850.0	-52.24149	10732.451	7497.1396	18758.4	-50.13906	575.1429	703.3	91999	1158.1154	530.43207	1695.4899	-205.89468	1158.1178	530.4238	1689.425	-199.28978	7.360888	4.2781343	70.14299	-9.707045	-1171.9547	3197.1416	1218.8577077388763
24	13034.436	6631.816	18005.357	-13.472118	10939.794	7623.1704	18272.262	-43.48099	801.2	676.4	95999	1194.8973	534.8938	1721.0483	-214.1822	1194.8927	534.9097	1715.8464	-222.43875	7.3081317	4.168649	64.667404	-10.845736	-1208.2257	3543.4346	1284.8222935199738
25	9576.0625	8361.982	18126.336	-48.356445	8246.285	5683.155	13806.905	-50.13131	570.1429	706.3	99999	1226.5717	539.06415	1750.091	-245.59552	1226.575	539.06335	1747.2279	-317.30057	7.4358745	4.0467257	58.24317	-9.637402	-1239.8502	4045.5964	1347.9711277484894
26	11589.185	8239.3955	18146.107	-50.112648	7268.5103	8944.841	18797.697	-52.51361	663.8333	408.0	103999	1258.9778	543.5824	1773.661	-185.99014	1258.9767	543.57513	1775.4043	-211.66441	7.3378325	4.052529	60.03185	-9.850479	-1271.9684	3855.7805	1402.850973367691
27	10548.172	7687.312	18822.639	-41.436913	12327.916	8149.427	19079.584	-31.333515	666.3333	702.9	107999	1287.4818	546.54614	1788.8759	-198.62862	1287.4773	546.551	1797.6187	-215.72662	7.20588	4.072566	69.61346	-9.516133	-1300.6082	4191.244	1468.5679454803467
28	11361.341	8167.9727	19038.393	-176.7801	10817.927	7354.7974	18151.006	-31.1681	675.6667	666.6	111999	1322.1565	541.0105	1807.2074	-225.7863	1322.145	541.0309	1814.079	-285.0084	7.428063	3.9905908	55.20534	-17.76847	-1335.3784	4245.103	1534.3324780464172
29	17201.629	1047.7687	18922.393	16117.311	10790.22	8889.546	19187.846	-135.94803	982.5	610.2	115999	1345.836	533.2692	1822.9125	-198.56834	1345.8223	533.2906	1825.5415	-227.12318	7.4020495	3.929719	70.21135	-9.901749	-1358.517	4612.431	1597.673231124878
30	10006.751	8732.129	18123.215	-125.000244	10154.646	7335.9766	18967.44	-60.532562	594.2857	704.7	119999	1358.2981	533.6641	1822.6858	-668.8446	1358.2856	533.6967	1834.0726	-799.14905	7.3458295	3.8393896	52.088295	-10.037825	-1370.1525	4306.2954	1660.4396603107452
31	14997.654	2362.527	17409.174	11238.201	14770.494	5147.065	19422.627	-22.976742	960.0	900.9	123999	1367.9288	528.12634	1830.3743	-1519.014	1367.93	528.12573	1843.161	-1310.0132	7.2568088	3.7413418	86.99462	-9.404784	-1379.2156	5058.007	1729.7082464694977
32	13407.498	6912.646	18850.842	-42.861515	10997.244	7365.155	19018.637	-44.931625	802.0	703.3	127999	1374.7677	522.2315	1832.155	-293.69305	1374.7683	522.24304	1838.8099	-314.04364	7.3183894	3.7907414	58.02486	-11.883544	-1386.1433	4718.685	1795.4978713989258
33	10726.281	7729.3057	18868.764	-50.51865	11359.361	5830.4556	16152.445	-39.134632	670.6667	802.0	131999	1386.2157	522.0411	1833.0565	-350.64832	1386.223	522.02515	1836.5459	-375.96548	7.2006664	3.8261325	56.50085	-9.800652	-1397.331	4681.026	1864.4711315631866
34	12370.868	6642.358	18380.822	-39.77055	13686.732	7045.977	18888.338	-172.36227	795.2	808.4	135999	1395.7374	520.0351	1829.733	-439.51276	1395.7485	519.99774	1842.0723	-488.0782	7.2252975	3.7294748	60.596092	-9.430705	-1406.3492	4818.4175	1930.9499161243439
