Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-29.163885	13.229095	10.379614	-78.90282	-29.306204	18.93241	8.906907	-60.9142	12.539185	15.0	3999	-11.013137	9.173443	20.515938	-34.904175	-11.013217	9.174466	20.526419	-34.49764	0.060965266	2.0115469	10.071731	-12.3217	9.831113	5.8679857	35.57968235015869
2	-27.541403	13.0369	26.653278	-84.225136	-27.89571	16.98082	1.4874369	-68.80538	12.817307	15.6	7999	-19.233248	9.253241	39.455986	-41.986496	-19.233347	9.251065	39.28882	-42.3057	-0.03906355	1.97159	12.987876	-13.272285	18.342354	2.9296808	81.24075937271118
3	-25.560658	19.016813	130.79863	-55.268127	-27.964443	10.334248	-11.382834	-42.79499	14.213523	15.3	11999	-22.491968	9.4790125	46.378468	-50.652203	-22.492453	9.474347	44.854603	-50.961136	-0.3262208	1.9146162	11.86699	-12.006834	21.966238	3.1988955	125.40454745292664
4	-12.55428	81.11175	950.53986	-80.704185	573.0457	1081.7626	3338.221	-39.575775	19.123762	189.4	15999	-22.785086	14.128803	78.945755	-56.605583	-22.784948	14.125817	81.45607	-56.233154	-0.5400752	1.893017	13.030444	-12.151224	22.604109	3.6510243	170.9720015525818
5	130.22435	517.18304	3607.8132	-62.31953	134.0546	193.67297	569.74774	-51.294724	55.08108	63.4	19999	-10.335995	35.546013	156.3445	-59.09276	-10.336106	35.542274	154.87953	-58.69763	-0.011884729	2.6648097	17.040653	-12.550697	9.725463	7.7069736	217.24514436721802
6	284.64566	710.3804	3958.731	-62.84984	639.85815	765.4615	2206.0532	-33.765247	97.17073	155.2	23999	15.983644	65.51814	237.75677	-57.92318	15.98365	65.51323	236.62762	-58.513123	0.8649314	3.3417683	24.008408	-11.183599	-17.45763	17.60757	266.43576431274414
7	624.52057	1295.5549	5330.5635	-50.1019	813.9968	2041.561	6751.195	-61.577938	149.96297	154.1	27999	50.103634	97.714775	307.41058	-57.974567	50.10499	97.7184	308.98373	-55.546974	1.3562915	3.6045954	26.14192	-11.965496	-52.662506	42.378403	317.18472933769226
8	1326.97	2329.1755	6412.565	-38.434315	1216.809	1864.987	4336.017	-57.349274	264.75	327.3	31999	99.04655	135.59402	398.27875	-57.31824	99.04711	135.59988	397.5786	-56.789192	2.1885583	3.9890707	26.104183	-10.977814	-102.78894	91.2518	369.5429353713989
9	3279.5752	3775.491	9982.947	-42.74465	4917.76	4045.6118	10161.811	-29.142748	451.77777	616.2	35999	156.67409	176.1907	521.0753	-57.29777	156.67354	176.20576	522.3591	-57.164577	3.0090392	4.244885	29.847523	-9.649254	-161.32417	160.35753	425.42329573631287
10	6148.8486	6839.27	15382.071	-45.727913	4599.708	5676.225	12023.468	-41.130863	483.625	409.8	39999	225.21162	225.36	703.43805	-63.33843	225.2142	225.38075	704.6184	-64.4683	3.5726788	4.2886295	31.45751	-12.293983	-230.75427	265.24167	478.9977102279663
11	4918.4956	7550.4785	19085.086	-46.7814	8390.211	8435.35	17854.422	-50.252426	319.92307	506.0	43999	324.58047	299.23364	914.4957	-65.99599	324.58365	299.25067	916.8137	-66.75132	4.472215	4.4860005	27.809444	-9.7409115	-332.1887	472.9936	533.2033977508545
12	8812.234	8997.378	19075.365	-38.20522	10240.078	8455.662	18842.158	-286.339	475.125	617.3	47999	461.7994	393.653	1115.0629	-75.6115	461.79736	393.66034	1118.0374	-63.334156	5.1786494	4.5954742	29.896103	-10.774557	-471.5984	823.2501	586.6771070957184
13	7252.0244	8918.183	19144.613	-49.699963	7519.754	9250.225	19048.844	-57.46802	409.2	414.3	51999	605.9569	475.48914	1268.195	-95.59851	605.959	475.48425	1270.9406	-78.71311	5.607919	4.6256976	35.89856	-9.525635	-616.9038	1363.7893	641.0924694538116
14	6607.8545	8198.916	18493.305	-82.6156	12778.719	8419.96	19361.867	-38.51953	396.3	704.3	55999	737.1807	534.60767	1406.667	-104.113434	737.1815	534.61285	1417.0447	-86.38399	5.939077	4.636429	50.778465	-9.650042	-749.0925	1668.3481	700.7733907699585
15	14691.357	7397.403	19079.379	-10.386283	13044.307	8572.058	19385.438	-33.517303	784.8	703.4	59999	853.4101	578.4757	1488.2301	-121.672516	853.41174	578.46985	1493.1044	-94.923096	6.1570935	4.425288	61.448563	-11.2378025	-866.5756	2491.811	758.6193993091583
16	14579.5	7305.3193	18881.6	9.202102	14935.275	7540.6265	19329.56	-169.13344	815.8	807.8	63999	955.1486	605.18646	1572.4086	-122.201614	955.1542	605.1793	1574.8513	-96.22564	6.438832	4.4068193	66.80503	-11.285865	-968.6009	2938.766	820.3721907138824
17	14347.141	7231.482	18595.059	-38.594704	14800.299	7453.4023	19134.07	-114.878685	783.2	807.3	67999	1038.9761	622.8091	1636.4451	-126.261696	1038.982	622.7983	1633.796	-98.067116	6.4563136	4.2928267	56.8947	-11.057467	-1052.9757	3206.6213	882.4407784938812
