Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	6525.1895	8724.127	19141.049	-120.651405	16471.744	5528.9585	18702.418	-47.927094	373.81818	901.2	103999	1169.0934	576.1469	1623.3788	-202.53218	1169.0941	576.1382	1624.1996	-204.38739	-1187.0258	3588.9023	1187.2542383670807
27	13330.35	6887.93	18609.887	-112.10346	11294.081	7474.132	18178.809	-40.149864	779.0	703.5	107999	1199.8727	579.4396	1658.951	-227.65771	1199.876	579.43243	1651.8689	-213.10664	-1216.908	3834.5867	1240.4569127559662
28	14445.617	7271.9863	19084.994	-40.440426	15216.956	7628.7163	19305.268	-45.272495	795.2	803.2	111999	1228.8281	582.8961	1673.3535	-271.62317	1228.8281	582.8965	1671.5599	-242.15038	-1245.5647	4034.0703	1295.285706281662
29	18114.18	506.4419	18877.945	17552.17	13443.271	6773.397	18313.52	-49.000767	997.75	802.5	115999	1255.3829	588.496	1709.4205	-294.27606	1255.3822	588.5012	1703.3763	-253.62732	-1272.9255	4086.4373	1350.8348851203918
30	8988.631	9050.405	18729.002	-113.72725	15014.599	7505.2593	19171.63	-40.40759	510.875	808.8	119999	1275.7141	590.2434	1700.9148	-315.314	1275.7133	590.24475	1701.9519	-270.6868	-1292.66	3946.258	1404.3231887817383
31	14717.553	7411.808	19100.611	-25.268007	9375.817	9416.704	19216.953	-52.50089	785.0	505.7	123999	1301.8787	588.9343	1715.1111	-286.7505	1301.8802	588.9301	1716.819	-269.58585	-1316.5148	4185.922	1454.4750363826752
32	14903.6	7472.774	18873.7	-35.834946	15168.307	7602.8735	19302.244	-40.271587	800.8	802.3	127999	1324.5381	585.84656	1733.503	-323.69006	1324.5405	585.84564	1733.5679	-332.3313	-1341.4321	4535.7236	1509.4838597774506
33	12071.844	8583.5	18718.756	-89.44637	16411.15	5563.1973	19054.174	-34.599552	670.0	900.8	131999	1344.5819	581.0287	1737.1853	-384.98624	1344.5781	581.03644	1742.56	-345.72998	-1361.0713	3903.8105	1565.080739736557
34	11792.165	8394.155	18486.58	-64.42155	15292.756	7664.823	19371.814	-33.79684	667.8333	801.6	135999	1363.262	577.64795	1747.4891	-277.23062	1363.2584	577.6567	1750.2275	-276.39206	-1381.6498	4547.185	1619.0511500835419
35	18661.32	548.7634	19129.197	17727.51	16910.117	5659.0815	19109.102	-23.208467	989.25	900.7	139999	1380.817	574.195	1759.1443	-280.81824	1380.8115	574.20654	1766.6443	-290.27646	-1398.4233	4599.127	1676.4859688282013
36	17862.814	870.0401	18803.04	16928.844	13157.42	4465.7314	15765.005	-34.301476	1000.0	901.1	143999	1384.5187	569.62506	1768.2195	-388.78732	1384.5122	569.64594	1779.3333	-376.10583	-1403.1215	4903.248	1734.4916214942932
37	18777.018	493.31	19129.951	17930.154	16995.766	5679.8535	19168.553	-32.258373	1000.0	900.7	147999	1392.8522	562.7889	1778.311	-362.69202	1392.8491	562.7957	1778.6205	-347.75696	-1409.998	4974.2485	1794.1976308822632
38	14480.825	7250.023	18333.047	-7.4174604	11274.148	9242.522	19127.127	-58.237343	802.0	604.4	151999	1402.1554	561.6419	1779.5558	-358.49426	1402.1503	561.656	1778.341	-400.00937	-1419.3379	4764.079	1846.9057145118713
39	16345.807	1077.1292	17892.373	14950.67	14807.339	7428.653	19171.756	-44.910954	997.5	802.2	155999	1415.443	555.56995	1786.1189	-349.28796	1415.4368	555.5839	1788.0023	-284.31577	-1429.8431	4929.4683	1901.7815992832184
40	12274.524	8722.433	19226.766	-68.770164	14860.185	7458.811	19195.273	-49.00497	671.3333	802.9	159999	1426.7451	554.5644	1810.316	-283.92163	1426.7405	554.57654	1801.5099	-289.57965	-1442.6943	5170.218	1961.3689532279968
