Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	-106.95645	102.18559	62.145664	-285.34222	106.391235	170.17038	438.83115	-226.22957	339.81818	748.1	123999	975.5638	274.26434	1320.4866	-469.22412	-993.1391	1152.3381	1151.1082768440247
32	-167.11821	311.2834	539.1716	-595.9207	-268.7059	229.47281	17.706818	-729.3212	475.77777	252.0	127999	949.84753	261.65314	1301.7462	-357.59863	-966.8525	1114.333	1186.8934848308563
33	-150.47441	222.73721	30.91912	-752.58356	-82.98426	382.13715	661.7348	-518.076	235.8	867.0	131999	927.2166	254.41667	1263.237	-596.1263	-944.2112	1052.8063	1233.2124779224396
34	-9.871259	157.14258	222.52724	-239.71483	452.66666	801.8933	2014.086	-306.77426	474.25	874.9	135999	910.124	248.29576	1254.003	-395.88538	-926.011	1035.0935	1279.9199588298798
35	44.828022	187.06398	309.64935	-251.62492	209.14482	275.74124	621.5946	-156.35841	669.0	830.2	139999	882.49023	237.07715	1197.2311	-430.76642	-897.30835	925.128	1324.9266810417175
36	-63.818657	282.28854	598.19696	-445.60675	-49.857025	217.88531	214.03897	-613.24725	434.33334	293.9	143999	855.52295	226.66293	1148.963	-526.0495	-870.2396	918.62335	1361.7237601280212
37	53.84719	250.59825	548.67816	-381.3705	914.58466	371.05142	1362.4734	-64.89345	390.2	901.5	147999	849.1153	223.3373	1129.5411	-359.998	-864.40216	901.4135	1409.6912229061127
38	-33.97947	198.68304	427.20544	-228.59862	473.0174	438.48553	1251.4285	-109.91448	489.0	735.1	151999	831.30365	216.91379	1099.0887	-392.9093	-844.88464	843.14215	1454.5998668670654
39	183.39357	425.004	1157.6592	-318.49664	764.7673	759.06586	1736.8885	-1094.4983	532.375	901.0	155999	799.57715	204.21301	1029.4368	-347.98816	-812.3415	767.5279	1501.2609405517578
40	719.4498	466.03162	1316.109	-75.050644	234.526	343.57114	1076.2625	-132.0829	756.4	492.8	159999	772.8948	196.45416	1009.76605	-379.60968	-785.45856	715.1629	1542.0340332984924
