Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	10340.76	9002.962	19008.055	-58.764313	11152.881	9138.109	18993.342	-34.291683	566.0	604.1	83999	1315.8932	589.0055	1754.9346	-156.04323	1315.8951	589.0023	1758.4968	-172.89674	7.0354176	3.8058298	67.86305	-10.644921	-1326.7915	4123.5337	1128.907720565796
22	8929.646	8978.68	18868.309	-38.199005	17407.639	467.79495	18408.54	16703.26	498.375	1000.0	87999	1340.765	583.993	1760.8876	-189.94731	1340.7662	583.99585	1769.8326	-163.94168	7.181967	3.7754395	62.094524	-9.681168	-1351.0781	4525.895	1200.14768242836
23	14032.023	7103.7607	18978.842	-30.554735	9501.851	7826.238	16930.203	-107.203514	795.0	605.1	91999	1362.5864	581.0065	1769.6725	-184.30855	1362.5911	580.99603	1767.778	-184.12206	7.07485	3.6916986	61.639576	-9.991627	-1372.5802	4945.828	1262.0972077846527
24	14491.602	7284.5254	18717.705	-21.874424	13893.294	6975.15	17867.916	-35.292126	799.8	801.5	95999	1382.17	577.5769	1792.7837	-220.3553	1382.167	577.5778	1782.9122	-211.85951	7.0310473	3.7665265	56.404484	-9.65391	-1391.7825	4554.649	1328.2646746635437
25	12047.405	8542.624	18377.225	-31.417805	13091.232	6634.365	18370.857	-41.93047	667.8333	801.9	99999	1404.4655	571.60516	1794.367	-188.27873	1404.4629	571.6136	1789.473	-178.655	6.913857	3.7865586	56.324314	-10.429266	-1414.1145	4330.326	1394.2222747802734
26	11515.6875	8219.401	18481.545	-74.81453	16583.27	5561.3887	18975.354	-65.078674	670.6667	901.9	103999	1422.6096	562.49567	1790.3773	-216.00613	1422.6082	562.4958	1791.0062	-202.6376	7.046438	3.6905653	59.232292	-9.676088	-1432.2053	4888.1074	1459.4961819648743
27	18242.23	1257.557	19321.88	16126.161	16292.303	5583.88	19536.268	-27.808075	989.75	901.5	107999	1436.3229	557.528	1791.901	-218.78181	1436.3259	557.5158	1793.3925	-201.30638	7.061199	3.626102	49.298096	-10.254543	-1445.3632	4966.185	1528.922688961029
28	14349.713	7223.533	18525.686	-41.29048	16292.636	5470.373	19189.965	-13.543907	802.2	901.5	111999	1451.4202	548.47107	1797.5009	-238.19139	1451.4131	548.4858	1800.3739	-247.86327	7.079857	3.5969844	53.045395	-9.092346	-1460.1755	5068.9097	1593.946537733078
29	12056.77	8552.772	18839.408	-31.818874	7182.471	8876.421	18525.838	-119.39597	669.0	412.6	115999	1465.8829	541.9141	1805.2207	-284.25726	1465.8787	541.9223	1805.0067	-256.43945	6.8994465	3.6091802	82.838776	-8.963512	-1474.522	5479.149	1655.933501958847
30	18074.008	722.30756	18633.293	16838.846	14720.589	7392.0493	19033.85	-51.532143	993.75	803.2	119999	1473.0892	534.65424	1808.437	-290.14307	1473.0885	534.66266	1816.067	-251.76088	6.804141	3.5894468	47.28979	-9.036461	-1481.0978	5062.7715	1723.7020754814148
31	11708.778	8325.81	18565.486	-45.009007	12020.326	6278.1675	17051.766	-40.916653	670.3333	802.9	123999	1474.07	526.6906	1809.3253	-288.05203	1474.0656	526.6999	1804.8514	-257.26044	6.9180355	3.5636387	54.65077	-9.750282	-1481.9115	6099.3574	1789.4912440776825
32	12061.02	8597.65	19112.156	-40.15851	10391.021	7016.957	18032.752	-38.208122	666.3333	704.9	127999	1478.2789	521.9822	1797.2961	-321.0236	1478.271	521.99963	1795.1085	-284.02676	6.9378905	3.5457094	56.585953	-9.586967	-1485.7262	5380.877	1855.9196546077728
33	14213.708	7184.352	19136.188	-35.334064	12698.523	8379.415	19231.072	-34.571957	797.2	703.1	131999	1486.3304	521.2477	1813.0181	-329.8512	1486.3285	521.2483	1814.4985	-309.60614	7.009319	3.515472	57.919765	-9.40385	-1493.5848	5493.3447	1921.9943234920502
34	13752.172	7300.4224	18982.38	-34.69275	11241.9795	9197.8545	19003.848	-32.619473	800.2	605.0	135999	1496.0507	518.6404	1814.0604	-279.8755	1496.0438	518.6463	1816.9634	-256.14578	6.741825	3.4838786	57.050644	-9.700879	-1503.0045	5122.684	1981.5431921482086
35	14285.052	7254.6274	19130.303	-31.551706	12572.832	8297.334	18889.018	-42.002266	800.2	702.8	139999	1501.069	516.1625	1821.0248	-183.07037	1501.0688	516.16113	1813.6309	-196.00806	6.7411275	3.4321353	49.586647	-10.719232	-1507.695	5404.882	2046.4134268760681
