Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-27.080898	14.059304	23.456343	-74.29704	13.351171	0.020728061	0.12914638	0.36046892	-0.3730967	4000	0.009586888	733.44037	0.0	-343.98715	0.9189432	3.695488e-09	7.88838005065918
1	-28.286749	13.692362	13.676208	-81.61939	13.289037	-8.047914	2.2041006	7.0372434	-9.530505	8000	0.013507665	414.7416	0.0	-209.51822	0.91924256	3.6656858e-09	15.771392583847046
2	-26.985964	15.158735	45.986588	-84.49008	12.935065	-14.987987	1.2405037	8.326297	-15.368764	12000	-0.0013800507	218.0364	0.0	-69.904495	0.9194068	6.2584875e-09	23.70453143119812
3	-28.231657	14.416894	19.716192	-87.26572	12.941748	-19.06658	0.64579356	-1.4240565	-19.249245	16000	-0.02203437	142.06128	0.0	-33.447227	0.9195731	-2.6226044e-09	31.605847597122192
4	-28.753063	13.18834	12.718392	-103.33123	13.04902	-21.928509	0.7698956	0.9807519	-22.13605	20000	0.0038665228	98.47968	0.0	-13.3945465	0.91962844	1.6093255e-09	39.521629333496094
5	-28.319437	12.28227	19.270155	-66.453156	12.85209	-23.786512	1.1354839	2.0750117	-24.021347	24000	0.0097353915	69.1712	0.0	-5.2886734	0.9197023	4.4703485e-09	47.3584885597229
6	-27.375175	14.313226	29.23448	-71.533875	13.269103	-24.929243	0.64965147	-15.038897	-25.12689	28000	0.027144695	93.95786	0.0	-3.931633	0.9197663	1.6987324e-09	55.19915318489075
7	-28.244919	14.427516	25.113564	-71.50632	13.2392025	-25.040817	2.6876352	20.904041	-25.504309	32000	0.00041831398	95.59809	0.0	-9.352692	0.91986793	-1.758337e-09	63.106592893600464
8	-28.31824	14.592761	20.04517	-87.064316	12.845659	-25.61916	2.1436253	7.042544	-26.100584	36000	-0.036317043	96.63442	0.0	-6.2925034	0.91991836	1.9371509e-09	71.05759358406067
9	-28.609034	14.419531	19.613811	-74.55493	12.92233	-25.917234	0.92152554	0.14612289	-26.150702	40000	0.018532664	89.229515	0.0	-1.9028625	0.9199122	-1.0430813e-09	78.95546507835388
10	-28.291737	13.306342	14.065212	-72.59909	12.915857	-26.014212	0.61191064	-12.150058	-26.185406	44000	0.016068043	76.18141	0.0	-3.41156	0.91992897	4.1127204e-09	86.92605400085449
11	-26.31285	12.981706	16.780485	-67.397446	13.065359	-25.648676	2.1893785	12.94245	-26.205795	48000	0.02512207	77.76259	0.0	-5.245491	0.91995275	-3.4868717e-09	94.77196311950684
12	-28.4988	13.325457	26.07375	-67.10423	12.738853	-25.26372	2.0306258	14.841243	-25.736242	52000	0.020869361	81.23861	0.0	-7.7226562	0.9200099	5.662441e-10	102.6725561618805
13	-28.778801	14.138061	20.397158	-88.95839	13.1049185	-26.151657	0.60415536	-12.070165	-26.315136	56000	0.020508	83.66076	0.0	-1.5323334	0.9200828	-1.6391277e-09	110.60088872909546
14	-28.054186	13.813332	20.9444	-69.52659	12.867742	-26.371214	0.9876055	-7.0487146	-26.55117	60000	0.041788466	82.386505	0.0	-2.9035873	0.9201664	4.887581e-09	118.49847888946533
15	-27.7716	14.124341	23.555763	-81.00264	13.275747	-25.93819	1.183312	-8.812819	-26.279377	64000	-0.014424266	88.82134	0.0	-3.4335709	0.920275	-7.301569e-09	126.37740969657898
16	-27.78697	13.417693	21.773008	-73.22648	12.938511	-25.860485	0.50159335	-18.236607	-25.994589	68000	-0.043640483	73.378174	0.0	-4.3644714	0.92036474	-1.1324882e-09	134.2487392425537
17	-27.315973	14.345176	25.078176	-75.444305	12.996742	-25.86779	1.9905527	18.225945	-26.31626	72000	-0.0115616815	89.43123	0.0	-5.3956985	0.9203939	-1.7881393e-09	142.11073446273804
18	-27.82439	12.161771	17.7964	-73.26868	12.559749	-25.55069	2.7747688	14.681145	-26.080942	76000	-0.004067331	70.59197	0.0	-6.1107635	0.9204077	-5.6028364e-09	150.0057029724121
19	-28.100775	14.815342	15.38135	-89.289474	13.10164	-26.078161	0.44399416	-12.715063	-26.196312	80000	-0.0063417815	91.32252	0.0	-1.8846359	0.92042315	-2.6524067e-09	157.89660835266113
20	-28.064886	12.906515	30.012257	-65.5284	12.753994	-25.987104	1.1052549	-5.5183105	-26.28744	84000	-0.012613734	71.939156	0.0	-2.0695496	0.92042536	-2.3841857e-09	165.86099481582642
21	-28.3452	12.982562	17.256521	-74.30496	12.817307	-25.785742	1.9221463	10.363257	-26.217361	88000	0.010680523	74.22155	0.0	-3.8273468	0.9204142	2.2053719e-09	173.7804946899414
22	-28.294918	13.895204	23.662306	-74.5431	13.138158	-25.871342	1.5937111	6.027612	-26.200636	92000	-0.007947673	88.212425	0.0	-2.7549515	0.9204197	-4.1723253e-10	181.67369651794434
23	-27.485485	12.642591	28.364906	-61.910465	12.951299	-25.934116	1.4098402	-8.630247	-26.341068	96000	0.006208358	76.08966	0.0	-8.716385	0.9204181	4.0233137e-09	189.5771677494049
24	-27.800823	14.449058	46.20159	-75.04369	12.909385	-25.19453	1.6017166	-7.0644965	-25.884924	100000	-0.0036034656	92.52437	0.0	-5.9631424	0.92042327	-1.5497208e-09	197.52475023269653
25	-27.158487	13.906699	39.832294	-61.232994	13.062092	-25.744305	0.9190541	-5.232245	-26.185349	104000	-0.033930916	76.23754	0.0	-5.3892746	0.92042345	1.5795231e-09	205.39185118675232
26	-27.434574	15.131393	61.56695	-66.58243	13.19142	-25.38568	2.3505988	2.403343	-26.348797	108000	-0.011943344	102.44923	0.0	-7.916725	0.9204009	6.3180923e-09	213.25635814666748
27	-27.178377	13.215008	36.587273	-73.82573	13.022801	-25.467299	2.1304984	9.646714	-26.390232	112000	0.012987654	82.431816	0.0	-9.927872	0.920374	3.3676624e-09	221.115886926651
28	-27.012861	15.424427	21.92959	-77.900764	13.326667	-25.226032	2.2959616	18.163692	-26.117105	116000	-0.012192274	101.79682	0.0	-7.5448914	0.92035884	-4.798174e-09	229.001704454422
29	-26.306034	14.586712	46.185436	-62.8454	13.402684	-25.26107	1.7729177	-8.243785	-26.298416	120000	-0.01885062	87.26962	0.0	-5.7182693	0.9203387	3.4868717e-09	236.89078450202942
