Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	112.61009	22.069294	200.58788	67.049515	21.026316	5.127941	40.24454	92.39981	-31.474482	128000	-0.083870806	90.361145	0.0	-11.456856	0.9141936	-5.364418e-10	245.98739290237427
32	115.77728	24.35233	182.60553	63.481922	21.54054	5.225874	40.650776	94.37159	-32.215492	132000	-0.100768946	104.03371	0.0	-11.29747	0.9139035	1.1622906e-09	253.65465569496155
33	118.74049	28.571445	277.74774	78.37298	21.803278	6.5494046	41.560566	96.590485	-32.7966	136000	-0.10968643	143.05542	0.0	-15.748962	0.9136057	4.0233137e-09	261.28145456314087
34	121.239914	26.231747	260.64764	61.21066	21.868132	7.6204805	42.921707	99.18319	-31.607904	140000	-0.079974756	133.61478	0.0	-16.775276	0.9132972	-2.2947788e-09	268.90923976898193
35	123.34787	31.224707	250.1167	64.119835	22.03315	7.8189588	43.596	101.60776	-30.707075	144000	-0.107597396	157.41397	0.0	-18.763885	0.91298515	7.748604e-10	276.54242849349976
36	127.01688	26.85031	208.06064	78.48	23.156977	7.652231	43.828873	104.15952	-35.107296	148000	-0.08161616	132.12428	0.0	-19.9767	0.91266704	-2.0861626e-10	284.1802258491516
37	125.48903	30.081308	235.8609	73.99323	23.121387	7.515475	44.90044	106.595825	-32.869003	152000	-0.0837106	141.7179	0.0	-18.34018	0.91234946	7.3611734e-09	291.8157067298889
38	131.47841	31.559448	241.22758	78.619576	23.309942	8.752201	46.030132	108.67543	-37.61271	156000	-0.119734585	157.47002	0.0	-16.96524	0.91203356	3.3676624e-09	299.4072699546814
39	130.63196	30.983492	245.04083	79.52752	23.362574	9.305971	47.044685	111.14136	-36.80488	160000	-0.12397259	149.9739	0.0	-17.594055	0.9117098	2.4735927e-09	307.03985500335693
40	134.53494	32.68135	246.43353	78.06505	23.656805	10.119062	47.28765	113.50016	-33.752556	164000	-0.11411148	175.65776	0.0	-30.724197	0.91137445	-4.5001505e-09	314.6967554092407
41	134.40564	34.293186	259.32825	75.00175	24.133333	9.901004	47.52009	115.8692	-48.1991	168000	-0.13032891	180.1115	0.0	-26.025452	0.91103446	-8.791685e-09	322.33677077293396
42	137.77916	35.316628	314.32007	82.25672	24.496933	10.537878	48.49424	118.40006	-39.15939	172000	-0.115870684	205.90216	0.0	-28.153534	0.91068935	1.013279e-09	330.00756311416626
43	134.59262	29.619602	219.10114	76.895775	24.212122	9.786312	48.411205	121.07113	-38.04373	176000	-0.11201341	137.52779	0.0	-26.673904	0.91033983	5.841255e-09	337.671231508255
44	139.82104	34.502182	283.75122	78.288376	24.708075	11.706812	49.52759	122.42838	-48.274925	180000	-0.10842271	189.76633	0.0	-28.202286	0.9099914	5.4836273e-09	345.3183157444
45	137.33226	33.105007	257.64014	82.93342	24.85625	10.904613	49.3781	124.77855	-39.838394	184000	-0.115161225	165.16087	0.0	-29.42221	0.9096373	3.4272671e-09	352.99117493629456
46	144.04025	40.915024	298.5123	77.54059	26.278145	11.302916	50.191536	125.56062	-37.499954	188000	-0.13942534	251.20285	0.0	-45.1447	0.9092811	4.4107438e-09	360.5794999599457
47	146.09322	39.906963	284.74323	78.982285	25.915585	11.656797	51.298306	128.86047	-42.246563	192000	-0.123587616	245.49408	0.0	-39.582397	0.90892494	4.6491624e-09	368.25009059906006
48	148.16827	36.713238	312.57755	72.87638	26.56	12.948531	52.775894	131.12285	-38.578873	196000	-0.10507515	227.14578	0.0	-49.267166	0.9085599	-5.543232e-09	375.87255787849426
49	147.36287	38.538593	358.04025	82.223434	26.324503	12.275168	52.04015	133.23848	-64.06784	200000	-0.059253298	236.59306	0.0	-37.634308	0.90819716	-2.2947788e-09	383.5168333053589
