Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-28.034866	14.282959	13.74562	-110.57425	-29.850784	10.690474	-11.858684	-45.286854	12.45625	11.1	3999	-8.569702	9.192666	31.598572	-34.001797	-8.570984	9.194172	31.876345	-34.061897	7.3518615	7.132738	24.569322109222412
2	-28.454384	13.346967	17.505035	-86.93436	-30.8242	13.942172	0.06893013	-53.164906	12.739682	15.1	7999	-18.02	10.504126	34.178467	-52.17498	-18.020285	10.5095005	34.88939	-52.389076	16.245672	4.192369	55.59593605995178
3	-28.466892	15.369641	26.635744	-81.612915	-27.236477	11.188154	-5.9942074	-42.401993	13.857639	13.3	11999	-23.273245	9.61582	32.911125	-57.23168	-23.273275	9.625519	37.31235	-58.312756	21.674847	4.5921426	89.23873901367188
4	-27.130615	19.181574	91.96656	-79.316895	-19.580862	21.808508	39.009735	-35.6923	15.205323	17.0	15999	-25.065777	10.348502	68.2433	-61.157063	-25.065622	10.360398	68.660225	-60.967564	23.925331	4.214885	120.90237951278687
5	29.371273	397.0302	4399.235	-61.897457	-4.783383	65.06377	179.80196	-60.553226	29.563492	23.6	19999	-21.591038	19.107002	89.50831	-63.092415	-21.591057	19.112986	90.44664	-64.154396	20.225529	4.9445915	153.4489233493805
6	253.5741	918.1202	5166.773	-59.5945	376.9847	1133.7744	3776.006	-51.364735	75.5	123.1	23999	-6.498938	41.555004	147.69322	-65.67741	-6.499306	41.560932	147.39279	-66.41266	4.704574	9.734414	185.7792627811432
7	406.60666	1360.4136	6852.5635	-56.766727	-27.131155	7.203698	-11.163036	-37.511303	97.23077	10.2	27999	13.9507265	63.536686	204.99951	-72.10548	13.950542	63.54402	204.49432	-71.49464	-16.539017	21.77279	216.7302885055542
8	713.065	1867.998	10477.397	-54.33675	51.309814	128.60838	377.46127	-56.77393	107.60526	34.6	31999	41.024166	89.43157	295.77112	-84.40726	41.02328	89.44	295.53143	-86.039116	-44.753693	39.368195	248.5758364200592
9	1005.6482	2488.133	9724.844	-41.040474	4124.1616	4442.0273	10659.491	-28.736076	126.51852	455.5	35999	73.605774	123.412094	430.92047	-91.049805	73.60407	123.4154	432.0781	-88.94766	-78.38855	71.50273	288.5029194355011
10	3063.9092	5546.159	18164.926	-40.196266	3518.5293	4299.972	11872.184	-101.89874	259.26666	307.1	39999	125.32841	174.54634	574.9276	-91.58981	125.32726	174.552	571.5611	-87.291046	-132.63268	133.6301	325.7098205089569
11	4371.2583	7368.9536	19385.422	-39.24266	7786.8735	8984.173	18983.34	-32.023884	270.375	449.8	43999	201.4378	241.2225	709.85406	-82.351524	201.4346	241.2271	709.5858	-83.95148	-210.04059	266.42456	364.9722855091095
12	13485.456	7592.5483	19331.865	-14.953146	13276.825	8718.635	19320.385	-63.26171	711.4	705.5	47999	290.0533	305.30215	812.4153	-104.08193	290.0521	305.3066	821.7007	-97.67247	-300.91107	466.46582	412.5707986354828
13	15199.5	7622.818	19273.1	-34.171627	10787.475	8844.035	18566.258	-43.916183	800.6	606.4	51999	385.53992	360.8147	915.72015	-112.55791	385.53873	360.8171	909.09454	-106.68191	-397.253	630.74225	457.44744420051575
14	6122.5156	8704.56	18953.59	-49.167877	7614.6533	9370.349	19255.025	-45.40631	340.16666	406.1	55999	478.471	408.74384	1011.36316	-116.60687	478.4712	408.74826	1011.537	-118.98655	-492.43753	909.35785	497.0542850494385
15	14624.825	7391.189	19155.137	-33.28196	15181.81	7602.6694	19270.941	-26.817545	783.0	803.0	59999	569.17676	447.18985	1097.624	-128.5204	569.18097	447.18863	1097.8215	-124.481964	-583.78674	1372.9456	546.6878068447113
16	10686.04	9256.716	19113.693	-29.637669	17136.629	5724.285	19406.69	-28.962376	585.1429	900.9	63999	655.37244	478.64417	1182.2539	-122.8774	655.37286	478.64197	1183.0798	-122.44793	-672.2716	1454.8295	600.9667842388153
17	14583.974	7340.9653	18800.129	-25.72194	5708.4966	8769.009	19338.504	-59.408005	780.8	309.1	67999	737.68854	501.57388	1260.7283	-111.739815	737.6876	501.5711	1253.2673	-112.65558	-755.279	1768.9747	642.8518390655518
