Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	21476.643	0.0	21476.643	21476.643	30553.38	22676.973	55817.65	19.45143	4000.0	6303.5	83999	143.69398	511.36853	593.2039	-1134.3809	143.69283	511.3637	588.2331	-1263.097	5.8387575	3.0508685	66.37526	-11.954209	-146.83954	217.41615	2583.2170510292053
22	40687.39	0.0	40687.39	40687.39	86340.914	29629.455	111348.68	267.25424	4000.0	9015.4	87999	152.72229	510.9757	612.62946	-1232.5652	152.72308	510.96536	608.69525	-1243.1294	5.9216886	2.966803	55.896217	-9.618941	-155.94899	242.57394	2799.862880706787
23	43196.125	0.0	43196.125	43196.125	3840.352	12889.677	36538.55	-18102.572	4000.0	1688.4	91999	182.04712	512.98987	717.61334	-1089.4269	182.05016	512.9692	717.6276	-1066.9506	6.4618425	3.0595112	42.48436	-11.708928	-186.00224	252.80428	2892.2296719551086
24	52474.53	0.0	52474.53	52474.53	139452.8	51202.355	195818.53	-134.53586	4000.0	9001.6	95999	227.24101	531.13116	807.188	-1145.4397	227.24007	531.1183	806.1518	-1228.0114	6.806654	3.0670671	58.74771	-11.55574	-231.97415	275.60425	3104.4809925556183
25	54563.73	0.0	54563.73	54563.73	101555.16	74676.91	181868.62	-106.8864	4000.0	8021.9	99999	294.76782	562.5791	957.45605	-1172.3428	294.7712	562.5679	953.6374	-1134.6106	7.2111826	2.9502373	80.12943	-11.354563	-300.49323	322.8812	3297.349481344223
26	67264.48	0.0	67264.48	67264.48	52035.43	4619.428	63946.453	49124.184	4000.0	10000.0	103999	386.25772	597.7467	1109.8905	-1165.7958	386.25992	597.7448	1106.2905	-1175.9146	7.562102	2.9403048	97.52727	-9.798855	-393.24213	391.75128	3530.7570900917053
27	63498.227	0.0	63498.227	63498.227	175688.03	7512.4683	196533.48	168579.03	4000.0	10000.0	107999	479.7365	638.87177	1232.051	-1105.8381	479.73767	638.87695	1232.3121	-1138.9922	7.749383	2.9037032	69.929985	-10.73265	-487.10757	535.25824	3764.423663377762
28	73393.195	0.0	73393.195	73393.195	163759.27	15671.335	189603.4	142335.03	4000.0	10000.0	111999	573.87787	674.5561	1336.5505	-1195.925	573.8803	674.55664	1343.3007	-1218.9153	7.75885	3.0799544	61.01555	-9.866753	-581.1276	547.08966	3995.574676513672
29	72288.56	0.0	72288.56	72288.56	185659.12	1148.4032	187517.16	183773.39	4000.0	10000.0	115999	658.9507	706.84283	1426.7737	-1393.1027	658.95245	706.8408	1427.4792	-1342.5481	8.0742035	3.0782678	79.647995	-8.390035	-666.6641	616.99927	4222.387946128845
30	74747.93	0.0	74747.93	74747.93	158569.06	53997.17	197856.33	-126.58968	4000.0	9002.1	119999	745.2116	731.3886	1500.8354	-1176.7687	745.21	731.387	1498.9142	-1197.1099	8.316301	3.1392152	71.37897	-8.546483	-753.36224	699.2618	4438.736062288284
