Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-27.687645	16.634235	28.831783	-91.04654	-37.047672	23.12181	14.3070345	-74.53043	15.466926	18.8	3999	-2.723963	13.420379	47.925316	-36.751835	0.11911198	2.9376552	22.118849992752075
2	-27.17341	15.740781	16.836384	-73.118515	-8.196866	46.08518	73.47092	-68.33038	15.525097	38.6	7999	-5.067801	21.158607	82.37198	-38.146893	1.859002	2.0886285	50.08669447898865
3	-24.337376	40.029823	290.6272	-160.89954	59.74411	87.027954	212.35472	-114.33933	25.657719	163.5	11999	-1.3788841	32.23995	152.12955	-40.09914	-3.0717857	3.231007	79.7226550579071
4	-7.0711594	221.4746	677.2186	-422.21628	708.55035	599.4786	2018.2921	136.77919	161.08333	357.8	15999	29.727808	66.138756	256.5949	-52.40675	-36.957165	10.570238	112.66750478744507
5	338.165	468.2512	2023.7162	-34.04392	50.127254	93.96682	209.42693	-102.31079	178.39131	183.6	19999	88.52064	107.66087	358.21176	-50.05668	-99.63045	30.795233	142.35320782661438
6	462.45663	448.9731	1299.4752	-26.624344	1761.3297	942.70184	2610.5925	-203.71788	437.875	818.2	23999	153.4884	133.92072	395.6932	-45.97551	-166.03125	45.3806	183.68728613853455
7	1685.2126	689.35834	2666.6265	625.8761	3257.9688	1179.8916	4194.688	-67.89846	811.0	908.3	27999	228.42772	154.07622	467.15796	-59.652885	-243.2174	83.95084	225.32013630867004
8	1496.5488	897.76135	2674.785	218.46909	1306.425	827.60004	2329.922	-85.8247	664.0	727.3	31999	296.4585	157.65224	493.6076	-76.02124	-309.80457	130.88223	265.81402802467346
9	973.0025	849.15485	2302.7163	-12.886216	501.1443	561.57434	1592.0381	-63.205658	555.7143	340.8	35999	345.22885	170.75102	573.5289	-140.76747	-361.00424	186.4425	299.04985451698303
10	-30.189877	75.82538	352.47812	-329.07666	300.20926	251.66687	840.7896	34.27901	35.834953	509.2	39999	426.22537	181.52435	1258.5907	-245.30685	-444.85474	405.40143	336.0671033859253
11	-155.1847	258.3978	221.92152	-824.8425	-233.32205	469.13657	743.9943	-1219.1637	254.47058	487.5	43999	460.7279	228.96542	772.3639	-153.83253	-478.043	319.1676	373.13667249679565
12	782.785	637.64166	1661.6229	-56.60645	2258.2925	384.31445	2820.088	1494.1696	746.4	1000.0	47999	514.0406	242.61823	859.2393	-131.85693	-532.5238	334.2209	418.560795545578
13	873.6739	1209.9381	2751.3018	-671.4619	-333.99796	376.82486	-20.494007	-1352.8119	590.5714	405.3	51999	569.51624	245.29593	883.8792	-110.56625	-588.2731	399.90646	454.2334563732147
14	7.5133433	173.51584	918.90234	-275.94925	-30.150848	9.364369	-11.094429	-42.712963	74.0	16.2	55999	639.27686	217.27055	1073.5662	-614.492	-662.8566	698.57623	482.181343793869
15	-164.10944	155.94218	25.328295	-574.55444	-491.35138	400.10025	427.8994	-939.5522	150.0	907.8	59999	707.82965	278.77374	1048.8252	-254.85127	-728.8493	733.69354	525.3099362850189
16	-193.38808	644.098	894.24194	-1299.7666	-791.1387	825.7611	167.51147	-2093.2717	648.3333	841.9	63999	725.5113	298.1889	1132.7673	-274.15723	-746.46735	616.4981	569.9729833602905
17	366.86197	610.0031	1433.6838	-354.37466	320.33978	251.28455	658.072	-86.978714	591.125	907.7	67999	767.0804	307.1548	1226.1826	-252.08194	-789.2456	705.2499	615.0597307682037
18	843.0456	736.5804	1780.6481	-49.46886	-219.30501	479.822	693.79004	-1065.5026	657.0	491.0	71999	819.51904	312.44855	1285.5901	-186.28268	-842.3937	785.0711	653.7504467964172
