Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-26.531893	12.781131	11.074861	-61.31466	12.893548	-26.31727	1.9997194	11.738453	-26.685797	124000	-0.00081557466	70.65995	0.0	-4.347374	0.9181206	-3.3676624e-09	244.99170684814453
31	-28.19014	13.354621	11.859683	-99.010155	13.058824	-24.9354	2.751591	12.787231	-25.717976	128000	-0.030741982	82.45213	0.0	-9.957993	0.9181154	8.374452e-09	252.76677703857422
32	-27.064268	14.587944	56.033768	-61.366116	12.632912	-26.116158	2.2773225	3.492107	-26.685513	132000	0.023306428	95.18452	0.0	-6.73687	0.9180877	-1.7881394e-10	260.6377124786377
33	-27.553955	14.073782	14.032573	-87.67685	12.9449835	-25.39457	1.9297582	13.293674	-25.850779	136000	0.015723096	84.200195	0.0	-5.3466644	0.91808486	4.23193e-09	268.4269461631775
34	-28.416193	13.871511	14.169407	-69.51859	13.029316	-25.83612	1.6439651	2.6172762	-26.593351	140000	0.0025140247	90.21353	0.0	-5.738388	0.91808695	-6.9141386e-09	276.227840423584
35	-27.885464	13.022649	15.550174	-86.30733	13.04902	-26.106043	1.814632	1.8413074	-27.69847	144000	0.018906891	73.55623	0.0	-5.682312	0.91808677	-2.861023e-09	284.029412984848
36	-27.877161	14.897726	29.671946	-70.57708	12.673016	-25.402634	1.9862639	-12.834413	-27.288155	148000	-0.014250098	95.89472	0.0	-10.76062	0.91809815	-4.5895576e-09	291.87544655799866
37	-27.234928	13.589913	14.764474	-70.24598	12.726114	-25.37698	2.0941532	5.1816735	-27.455788	152000	0.022659035	76.756035	0.0	-13.382263	0.9181024	-3.5762787e-10	299.7541036605835
38	-28.344877	13.117548	15.961657	-94.33501	12.583596	-25.138567	2.9998133	13.732877	-27.87894	156000	0.02803104	81.86655	0.0	-18.86102	0.9181199	-7.2419644e-09	307.59801054000854
39	-27.614656	13.165813	20.346407	-60.84177	13.245033	-25.924063	3.1330848	0.631349	-29.631266	160000	0.008501055	70.040726	0.0	-20.700996	0.9181586	8.940697e-11	315.3796720504761
40	-27.735243	13.664175	8.410766	-71.30401	12.951299	-25.263195	3.6049435	-2.680787	-30.479107	164000	0.0066881524	67.21216	0.0	-27.714859	0.91820157	-8.076429e-09	323.2395443916321
41	-28.27605	13.912969	19.798725	-73.35306	13.088525	-25.644567	4.1217704	-4.3121853	-32.23854	168000	0.019526176	63.908905	0.0	-24.11568	0.91823834	-1.0430813e-09	331.11506843566895
42	-27.959984	13.490268	7.3526344	-98.32354	12.855306	-25.528551	4.7638454	-3.7207937	-34.07385	172000	0.00038781454	50.723843	0.0	-21.1782	0.91829455	-8.5830685e-09	339.03889989852905
43	-28.756592	12.651664	5.2940016	-68.89154	13.022801	-25.824356	5.223755	-9.298256	-35.686256	176000	-0.011668125	34.67021	0.0	-14.804043	0.9183357	-2.682209e-10	346.9612772464752
44	-27.145535	15.3827505	20.13378	-121.9168	13.215232	-25.557327	6.0480676	-6.71612	-37.361187	180000	-0.004345873	44.640427	0.0	-15.761431	0.91836506	-5.1558016e-09	354.845730304718
45	-28.375317	11.968332	1.9470814	-65.47195	12.694267	-26.012266	6.7442913	-3.9624927	-39.346775	184000	0.029818706	22.498806	0.0	-10.325025	0.9183849	-1.7285346e-09	362.7201118469238
46	-28.686308	13.517714	46.78054	-89.54694	12.559749	-26.02214	6.4161916	-3.41492	-39.835052	188000	-0.038928565	26.108715	0.0	-9.930876	0.91842574	-2.2947788e-09	370.61265540122986
47	-28.211258	15.030487	42.44699	-106.98271	13.081967	-25.913355	7.121499	-0.9696848	-40.886826	192000	0.027272476	29.720615	0.0	-10.387053	0.91843414	-1.8179417e-09	378.4808990955353
48	-28.490248	12.040697	22.32234	-70.77397	12.817307	-26.293861	6.978147	-1.5486916	-42.32336	196000	-0.0072697704	18.751265	0.0	-7.3830748	0.9184587	-2.9802324e-11	386.4232883453369
49	-27.043144	12.839352	17.220345	-70.45438	12.867742	-25.505716	6.9477444	-1.3259292	-42.589203	200000	0.009756514	20.17397	0.0	-10.592938	0.9184791	-7.510185e-09	394.31063199043274
