Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	182.76857	256.95587	660.4977	-210.93918	118.26674	7.6293945e-06	118.26673	118.26673	360.72726	886.0	127999	16069.553	5990.2495	24105.346	-4600.333	-16457.387	375919.2	1197.5613887310028
33	96.17815	125.855225	338.63312	-122.57682	217.7688	0.0	217.7688	217.7688	337.0909	1000.0	131999	16152.786	5954.559	24718.639	-3846.6558	-16537.227	398656.84	1250.9583809375763
34	92.95588	255.0443	635.0881	-270.23422	-272.5247	0.0	-272.5247	-272.5247	328.76923	740.0	135999	16210.258	5875.39	25164.09	-3387.609	-16583.943	422263.53	1301.083239555359
35	-129.98105	221.36305	117.639366	-613.8455	-405.7282	0.0	-405.7282	-405.7282	469.25	409.0	139999	16234.922	5806.3154	25115.422	-4057.4292	-16612.523	396837.88	1344.4508197307587
36	-143.11224	292.60934	529.4961	-859.04193	-74.08662	0.0	-74.08662	-74.08662	254.29411	233.0	143999	16249.573	5751.637	24611.047	-4016.508	-16624.096	391207.03	1384.1574592590332
37	-184.90405	200.46062	12.507181	-586.49066	-357.16547	0.0	-357.16547	-357.16547	425.6	242.0	147999	16354.24	5616.868	25111.014	-5038.588	-16724.518	400747.25	1425.6424643993378
38	-75.39183	103.63115	99.40017	-256.28525	33.71234	0.0	33.71234	33.71234	404.3	106.0	151999	16548.406	5598.5117	24784.402	-3344.4846	-16941.408	383337.97	1464.663548707962
39	93.70342	154.15456	342.46542	-248.29314	134.61435	1.5258789e-05	134.61433	134.61433	274.35715	71.0	155999	17626.326	5927.5083	25462.033	-3444.9917	-18064.771	444012.97	1503.1272687911987
40	381.7099	370.27798	1292.801	102.62447	604.68884	6.1035156e-05	604.6888	604.6888	408.8	675.0	159999	18002.162	5988.0557	24921.053	-3584.3804	-18404.598	469541.97	1551.8952708244324
41	49.243885	139.4348	296.35925	-215.53777	20.445532	1.9073486e-06	20.445534	20.445534	472.0	457.0	163999	18296.803	6034.275	24801.373	-5021.3105	-18707.871	472385.16	1597.9814066886902
42	-120.82498	217.28593	163.31169	-470.7794	134.86185	1.5258789e-05	134.86186	134.86186	655.0	144.0	167999	18623.59	6080.4883	26078.408	-6540.4863	-19026.482	478493.62	1638.4759604930878
43	-662.54926	788.3669	139.97754	-1834.472	-1693.2078	0.0	-1693.2078	-1693.2078	716.0	1000.0	171999	18924.08	6087.687	26298.273	-6843.0005	-19336.496	494125.6	1694.0970406532288
44	128.31554	358.84854	582.5353	-401.11142	1758.8851	0.00012207031	1758.8853	1758.8853	701.5	1000.0	175999	19150.543	6069.1353	26632.434	-6101.567	-19548.543	507476.7	1748.6801705360413
45	-15.642535	246.64343	308.52197	-871.3439	62.825523	3.8146973e-06	62.825527	62.825527	230.17647	49.0	179999	19090.715	6037.7686	27552.633	-7190.1597	-19477.611	501103.16	1786.6221761703491
46	27.646038	124.84296	120.18297	-537.615	61.410633	0.0	61.410633	61.410633	74.545456	25.0	183999	19284.283	6070.578	27945.006	-7115.845	-19689.584	534513.2	1824.221143245697
47	-6.047515	166.58081	77.63461	-757.98096	162.69962	0.0	162.69962	162.69962	133.10345	208.0	187999	19934.205	6391.0923	28585.934	-10335.43	-20373.023	558981.1	1864.8107335567474
48	211.85663	175.68619	496.00546	-142.44075	-418.4008	3.0517578e-05	-418.40076	-418.40076	325.91666	1000.0	191999	20062.695	6399.617	29591.736	-10073.02	-20459.916	589994.5	1918.2386736869812
49	778.95416	699.5322	1871.4453	72.9866	133.8441	0.0	133.8441	133.8441	652.0	1000.0	195999	20051.695	6415.5938	29453.512	-9052.737	-20443.225	582979.9	1971.888115644455
50	213.48547	466.2724	991.3721	-208.82178	211.93832	0.0	211.93832	211.93832	994.5	76.0	199999	20576.72	6474.0156	30074.664	-7570.505	-21008.436	572567.0	2009.686747789383
