Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-28.795551	14.284261	17.447657	-108.09492	13.009772	0.021047484	0.1296115	0.3560598	-0.412889	4000	6.604195e-08	795.1442	-0.021856688	-367.99698	0.9189432	0.015296322	0.153	45.0	8.189241409301758
1	-28.145086	14.175531	26.884165	-107.93882	13.148026	-8.130912	2.3631494	6.767156	-9.583688	8000	-9.894371e-09	412.991	-0.021119079	-199.61215	0.9112834	0.015169335	0.1575	40.0	16.370300769805908
2	-28.438232	13.985746	20.994135	-74.62428	12.814102	-14.921637	0.835996	1.5077857	-15.2557535	12000	-3.170967e-08	213.09862	-0.0293928	-79.358185	0.90385133	0.013204362	0.183	79.0	24.76359987258911
3	-29.610962	13.208797	15.305528	-86.60937	12.484375	-19.162464	0.7762201	-3.07887	-19.358885	16000	7.987023e-09	136.33583	-0.032149475	-35.263252	0.8876892	0.013372545	0.2185	79.0	33.17294692993164
4	-28.156422	13.645919	7.302804	-80.41364	12.987013	-22.12008	0.57397276	-3.0622754	-22.261248	20000	2.014637e-08	99.09377	-0.030947195	-13.1688	0.8710271	0.009961082	0.171	79.0	41.5339617729187
5	-26.027933	13.842528	16.171984	-89.80563	13.323334	-24.010712	0.5360347	-8.5974655	-24.139421	24000	-7.390976e-09	82.9782	-0.031790588	-2.308548	0.8640137	0.012661429	0.18875	79.0	49.99291253089905
6	-27.181995	13.582036	26.127869	-73.392525	13.20132	-24.387543	2.4618027	21.367838	-24.765102	28000	-1.26361845e-08	97.17717	-0.032566097	-12.83091	0.8533134	0.011018284	0.19825	79.0	58.38004422187805
7	-29.344576	13.610907	45.22351	-85.24688	12.623418	-24.984087	0.63450414	-15.5813	-25.167053	32000	-3.8146974e-09	88.309685	-0.0061783306	-9.921799	0.83978254	0.01752703	0.1905	5.0	66.3402190208435
8	-27.850428	14.250043	8.682822	-92.298996	13.275747	-25.591362	2.054106	9.661536	-26.05365	36000	-8.3446505e-10	97.079636	-0.033721082	-4.5304947	0.8393763	0.008339418	0.191	79.0	74.69281578063965
9	-25.895012	14.121011	34.436127	-70.56398	12.734824	-25.793457	1.5964841	5.996888	-26.139725	40000	9.536744e-10	86.74982	-0.0072300327	-3.1172943	0.8290024	0.015110012	0.19975	5.0	82.66489481925964
10	-28.652828	13.268974	26.65934	-72.46921	12.987013	-25.317936	0.88352334	-7.7472224	-25.526253	44000	4.2915342e-09	79.649124	-0.03807391	-1.6446533	0.8288461	0.013554573	0.22125	79.0	91.0130820274353
11	-28.513933	13.3239155	24.610565	-72.96202	12.829582	-25.854761	0.24978665	-20.739014	-25.94195	48000	-1.4305114e-08	74.24839	-0.035120025	-1.1378555	0.8198984	0.012185881	0.20025	79.0	99.40765881538391
12	-28.418217	13.251833	7.0900483	-81.15223	12.870968	-25.940804	0.6354073	-11.3723545	-26.11773	52000	-2.3841857e-09	78.19388	-0.036466587	-2.1058426	0.8169292	0.012546005	0.19825	79.0	107.79819130897522
13	-27.717045	14.226429	20.955158	-68.40836	12.941559	-26.194284	0.9511736	-2.563173	-26.372337	56000	9.059906e-09	91.75497	-0.039005935	-2.676384	0.81407934	0.012679496	0.22525	79.0	116.20127439498901
14	-26.883986	14.068384	16.794443	-65.958725	13.154605	-25.758331	1.7642894	13.294544	-26.001865	60000	7.152557e-09	88.280365	-0.03834485	-4.3599243	0.8048374	0.014855099	0.21625	79.0	124.58457231521606
15	-27.953535	13.939783	43.906147	-73.981636	13.165016	-25.452988	0.45448035	-14.989487	-25.573626	64000	-2.026558e-09	88.490036	-0.037832048	-2.0695648	0.7906223	0.011981679	0.2085	79.0	132.98150086402893
16	-27.820482	14.578645	57.941963	-77.566895	13.121711	-25.336329	1.5627915	13.285349	-25.696823	68000	7.1525574e-10	83.27214	-0.03885685	-2.5916672	0.7810152	0.012650933	0.2115	79.0	141.28557872772217
17	-27.536873	13.591432	21.799847	-83.07228	12.572327	-25.868223	0.34000584	-17.491856	-25.955408	72000	4.053116e-09	80.73017	-0.039416675	-1.9400024	0.7760767	0.011524491	0.2165	79.0	149.66433262825012
18	-28.859312	13.127072	8.105988	-98.49343	12.692063	-25.62042	0.78680384	-8.78444	-25.83094	76000	5.722046e-09	78.33628	-0.039307903	-4.9054337	0.7685089	0.01503225	0.208	68.0	157.99887895584106
19	-28.397995	14.060596	21.588446	-85.872826	12.909385	-26.005077	2.1621635	12.064756	-26.438679	80000	2.169609e-08	91.68215	-0.03214931	-6.676811	0.7593639	0.015102704	0.17925	36.0	166.20667815208435
20	-28.592337	12.998006	9.656936	-66.785416	13.134869	-26.135927	0.5854309	-7.662355	-26.258072	84000	9.536744e-10	78.23478	-0.04122891	-1.2687683	0.7599536	0.0150354225	0.209	71.0	174.59549617767334
21	-28.208055	13.711772	12.994542	-83.32343	12.870968	-26.060364	0.57692593	-12.121095	-26.175095	88000	0.0	82.386116	-0.02769258	-0.60198975	0.7644192	0.015005556	0.15975	35.0	182.72900080680847
22	-28.134933	13.999902	18.095474	-68.782646	12.915857	-26.062849	0.7729071	-8.593049	-26.231064	92000	-4.2915342e-09	81.53497	-0.043513224	-1.7362213	0.77739143	0.0142433755	0.23025	79.0	191.03234791755676
23	-28.700056	13.336504	23.45335	-75.56319	12.890323	-25.59656	0.8701162	-6.168237	-25.83596	96000	5.722046e-09	76.09437	-0.04115	-1.7330017	0.77140635	0.011237215	0.2085	79.0	199.4350516796112
24	-28.54795	14.476884	17.464102	-81.1572	12.710191	-26.04748	0.75209904	-9.598837	-26.284983	100000	4.7683715e-09	87.46503	-0.018651908	-2.1517258	0.7576735	0.015253184	0.1695	12.0	207.4526596069336
25	-28.474571	13.018445	15.860897	-67.43906	13.085246	-25.607664	2.3509557	1.2282673	-26.470648	104000	-5.722046e-09	77.760796	-0.0435596	-9.834724	0.75550735	0.014436985	0.2115	79.0	215.8546106815338
26	-27.621628	13.5839815	36.062916	-69.98127	12.779552	-25.81014	1.9911659	11.22246	-27.125984	108000	2.384186e-10	89.07923	-0.024616404	-8.168091	0.7484621	0.015101339	0.14425	26.0	223.94873905181885
27	-28.289766	13.581408	22.199389	-97.726234	12.967532	-25.836063	1.2059909	-20.696167	-27.06313	112000	1.4781952e-08	84.99962	-0.0144134015	-3.1113892	0.7486675	0.015697338	0.1625	10.0	231.95177245140076
28	-26.590366	13.693242	18.98761	-70.44511	12.977273	-25.637909	1.6891129	-11.852337	-27.331656	116000	6.3180923e-09	81.43445	-0.017432166	-9.518211	0.7475878	0.015127253	0.1325	16.0	239.9373664855957
29	-28.261995	14.060878	8.612355	-97.99394	12.890323	-24.73509	2.982258	15.805416	-26.673714	120000	-1.4305115e-09	99.53734	-0.026292743	-22.335068	0.74612963	0.015189482	0.17475	29.0	247.99270009994507
30	-27.638773	14.025639	10.930702	-69.94262	12.532915	-25.339031	1.830254	-9.3003235	-27.566767	124000	-2.9802323e-09	76.034676	-0.04585014	-10.083008	0.7473975	0.012693057	0.2335	79.0	256.40543365478516
31	-27.595728	12.801617	10.057791	-71.81445	12.67619	-25.640848	2.3558586	1.4067196	-28.326595	128000	-1.4781952e-08	70.766846	-0.038559753	-11.103439	0.7391499	0.015025659	0.19825	55.0	264.6679582595825
32	-27.859533	13.296975	17.618216	-79.19777	12.655064	-25.336948	2.5461369	1.7220972	-28.802176	132000	-1.1444092e-08	72.24575	-0.03952106	-12.098938	0.7318766	0.01524404	0.2065	70.0	272.973299741745
33	-27.518084	14.315587	45.65112	-74.5767	12.763578	-25.543615	2.2321923	-8.855777	-29.04749	136000	-2.6226044e-09	80.97197	-0.008337974	-24.554836	0.72757715	0.0152842915	0.1895	5.0	280.9563112258911
34	-27.338991	12.680648	8.93271	-68.23163	12.648734	-24.991749	3.69841	-4.3628335	-29.954254	140000	-1.4305114e-08	70.15619	-0.02497469	-27.968243	0.7276201	0.015806846	0.1855	21.0	289.0018894672394
35	-27.444838	14.42022	23.291899	-76.89145	12.778846	-25.116735	3.63602	-3.2258294	-30.825378	144000	-7.987023e-09	68.22731	-0.036746938	-25.32359	0.7290536	0.015098877	0.19025	57.0	297.2620174884796
36	-28.389507	13.634973	14.69059	-74.45519	12.861736	-25.235054	4.6909175	-10.068288	-32.673412	148000	-9.536743e-09	48.3625	-0.04419711	-19.55548	0.7254611	0.012199601	0.20325	79.0	305.6343927383423
37	-28.17007	13.610387	10.153834	-77.71387	12.49375	-25.696535	5.623906	-5.424887	-34.540047	152000	-1.3023615e-08	35.23816	-0.010366867	-12.755394	0.7244734	0.015277162	0.15325	6.0	313.60360383987427
38	-27.120983	13.870071	26.471773	-72.0183	12.589906	-25.532633	6.179977	-4.2898045	-35.94009	156000	-1.2874604e-08	33.449604	-0.04262344	-13.369272	0.72447634	0.015058071	0.212	66.0	321.9567070007324
39	-27.919418	14.853589	17.515118	-67.33121	13.026058	-25.021746	6.9665155	-1.3101109	-37.54697	160000	-7.1525574e-10	28.851118	-0.044518832	-11.526119	0.7226541	0.010803087	0.2145	79.0	330.30412912368774
40	-27.684965	12.310326	8.510036	-70.34995	13.026058	-25.623598	6.8459024	-0.48101217	-38.715	164000	1.7881394e-08	23.395191	-0.025483435	-10.750417	0.7170337	0.015130025	0.15575	21.0	338.30160546302795
41	-27.998066	12.597938	11.911115	-61.4545	12.615142	-25.844233	6.832264	-0.92770255	-39.25747	168000	-4.053116e-09	20.07301	-0.04975949	-9.175189	0.7138861	0.0123886205	0.24575	79.0	346.66834688186646
42	-29.075008	13.829147	23.596075	-81.30319	12.679365	-25.925367	7.2252173	-0.18824607	-40.002663	172000	-4.7683715e-09	25.87334	-0.021905383	-10.439148	0.69880426	0.015006793	0.17775	16.0	354.69953083992004
43	-28.393703	12.374812	20.270847	-60.934593	12.496875	-26.00124	7.027302	-2.6140025	-40.9783	176000	-1.2397766e-08	16.374968	-0.024463724	-7.241456	0.69686407	0.015251678	0.16975	19.0	362.73081517219543
44	-27.102917	13.631876	15.781028	-72.287544	12.620254	-25.389828	7.0734053	-0.45022014	-41.467888	180000	-1.4781952e-08	17.843822	-0.046624318	-8.112538	0.69460964	0.010991311	0.232	79.0	371.1549389362335
45	-26.556128	13.434289	14.904128	-70.85512	12.651898	-25.039612	7.6822834	0.1875374	-42.620743	184000	-4.7683715e-09	14.622018	-0.04761152	-6.9953403	0.68508345	0.013344964	0.238	79.0	379.57656812667847
46	-28.07131	13.050035	17.275381	-70.38092	12.68254	-25.64402	7.36184	1.3058023	-42.47115	188000	-1.8835069e-08	17.17668	-0.0126569765	-8.390501	0.6749408	0.015259377	0.15875	8.0	387.58045959472656
47	-27.02334	12.9494705	14.259354	-61.695484	12.83871	-25.005068	7.76823	1.7158898	-43.000748	192000	-1.1563301e-08	13.829952	-0.025041832	-6.383037	0.6737226	0.01503716	0.177	18.0	395.6600329875946
48	-27.670738	13.38965	13.223585	-65.63932	12.54717	-25.508104	7.349	2.5675602	-42.87451	196000	1.2874604e-08	12.862239	-0.019779237	-5.9692817	0.6718218	0.0150127765	0.1735	15.0	403.68328952789307
49	-27.171028	13.281456	25.786062	-68.57968	12.559749	-25.40906	7.750443	2.1506798	-43.985786	200000	1.3828277e-08	13.262836	-0.02306819	-5.5512767	0.6680622	0.015422644	0.1685	17.0	411.74463415145874
